med_code_id,term,snomed_ct_concept_id,observations
141431000000111,scottish - ethnic category 2001 census,92541000000108,
2486161000000112,white - northern ireland ethnic category 2011 census,977351000000100,
141451000000116,northern irish - ethnic category 2001 census,92561000000109,
1780408016,other white british ethnic group,401214002,
2487321000000116,white: other british - scotland ethnic category 2011 census,977931000000106,
1564391000006113,british,1564391000006109,
1968051000006116,white:eng/welsh/scot/ni/brit - england and wales 2011 census,976631000000101,
158341000000117,british or mixed british - ethnic category 2001 census,92391000000108,
459726019,white british,315236000,
196641000006110,race: caucasian,413773004,
1780407014,white scottish,401213008,
1063981000000117,white british - ethnic category 2001 census,494131000000105,
2487281000000112,white: scottish - scotland ethnic category 2011 census,977911000000103,
157281000000117,english - ethnic category 2001 census,110761000000106,
142691000000116,ulster scots - ethnic category 2001 census,93921000000101,
6846371000006111,caucasian,413773004,
285925010,white,185984009,
141441000000119,welsh - ethnic category 2001 census,92551000000106,
141461000000118,cornish - ethnic category 2001 census,92571000000102,
2484671000000118,white: irish - england and wales ethnic category 2011 census,976651000000108,
2487361000000112,white: irish - scotland ethnic category 2011 census,977951000000104,
1564961000006118,irish,1564961000006102,
285978014,irish (nmo),186014006,
1064041000000111,white irish - ethnic category 2001 census,494161000000100,
141301000000110,irish - ethnic category 2001 census,92401000000106,
459727011,white irish,315237009,
937411000006115,other white or white unspecified ethnic category 2001 census,94051000000109,
937311000006113,commonwealth (russian) indep states - ethn categ 2001 census,88961000000104,
138201000000110,polish - ethnic category 2001 census,88941000000100,
142791000000111,other mixed white - ethnic category 2001 census,94031000000102,
138191000000113,gypsy/romany - ethnic category 2001 census,88931000000109,
138231000000116,albanian - ethnic category 2001 census,88971000000106,
713341000000111,british israelite,368051000000100,
459728018,other white ethnic group,185984009,
142741000000118,kosovan - ethnic category 2001 census,93981000000100,
285987017,other european (nmo),186017004,
157991000000110,serbian - ethnic category 2001 census,88981000000108,
411594011,greek (nmo),275599007,
937371000006116,other republics former yugoslavia - ethnic categ 2001 census,94011000000105,
1968251000006113,irish traveller - northern ireland ethnic cat 2011 census,977371000000109,
138171000000114,irish traveller - ethnic category 2001 census,88911000000101,
142721000000113,turkish cypriot - ethnic category 2001 census,93951000000106,
1968081000006112,white: other white backgrd- eng+wales ethnic cat 2011 census,976691000000100,
142751000000115,bosnian - ethnic category 2001 census,93991000000103,
2645811000000115,roma ethnic group,718958002,
937391000006115,oth white european/european unsp/mixed european 2001 census,94041000000106,
1968461000006111,white: other white ethnic grp- scotland ethnic cat 2011 cens,978031000000109,
156921000000110,turkish - ethnic category 2001 census,110401000000103,
141661000000115,cypriot (part not stated) - ethnic category 2001 census,92791000000109,
411595012,greek cypriot (nmo),275600005,
142761000000117,croatian - ethnic category 2001 census,94001000000108,
937301000006110,baltic estonian/latvian/lithuanian - ethn categ 2001 census,88951000000102,
141311000000112,other white background - ethnic category 2001 census,92411000000108,
138181000000111,traveller - ethnic category 2001 census,88921000000107,
158481000000115,italian - ethnic category 2001 census,93961000000109,
142711000000119,greek cypriot - ethnic category 2001 census,93941000000108,
1968441000006112,white: gypsy/irish traveller - scotland ethnic cat 2011 cens,977971000000108,
142701000000116,greek - ethnic category 2001 census,93931000000104,
411597016,turkish cypriot (nmo),275602002,
2487481000000113,white: polish - scotland ethnic category 2011 census,978011000000101,
459786016,irish traveller,315283003,
405071018,turkish/turkish cypriot (nmo),270467002,
405070017,greek/greek cypriot (nmo),270466006,
411596013,turkish (nmo),275601009,
142781000000114,mixed irish and other white - ethnic category 2001 census,94021000000104,
1968071000006114,white: gypsy/irish traveller - eng+wales eth cat 2011 census,976671000000104,
141321000000118,white and black caribbean - ethnic category 2001 census,92421000000102,
460153018,black caribbean and white,315634007,
1968091000006110,mixed: white+black caribbean - eng+wales eth cat 2011 census,976711000000103,
1968261000006110,mixed: white and black caribbean - ni ethnic cat 2011 census,977391000000108,
141331000000116,white and black african - ethnic category 2001 census,92431000000100,
460154012,black african and white,315635008,
1968101000006116,mixed: white+black african - eng+wales eth cat 2011 census,976731000000106,
196611000006111,race: afro-caucasian,413466005,
1968271000006115,mixed: white and black african - ni ethnic cat 2011 census,977411000000108,
141341000000113,white and asian - ethnic category 2001 census,92441000000109,
285991010,"other ethnic, asian/white orig",186021006,
1968111000006118,mixed: white+asian - eng+wales ethnic category 2011 census,976751000000104,
1968281000006117,mixed: white and asian - ni ethnic category 2011 census,977431000000100,
157291000000115,black and white - ethnic category 2001 census,110771000000104,
285992015,"other ethnic, mixed white orig",186022004,
4740401000006118,"other ethnic, other mixed origin",186023009,
141471000000113,black and asian - ethnic category 2001 census,92581000000100,
4740341000006112,"other ethnic, black/white origin",186020007,
937511000006119,other mixed or mixed unspecified ethnic category 2001 census,92621000000100,
459729014,mixed ethnic census group,315239007,
285993013,"other ethnic, other mixed orig",186023009,
1968291000006119,mixed: other mixed/multiple ethnic backgrd - ni 2011 census,977551000000106,
285952017,other black - black/white orig,185999009,
285990011,"other ethnic, black/white orig",186020007,
285953010,other black - black/asian orig,186000006,
141481000000110,black and chinese - ethnic category 2001 census,92591000000103,
285989019,"other ethnic, mixed origin",186019001,
1968471000006116,mixed/multiple ethnic grps: any- scot ethnic cat 2011 census,978051000000102,
141491000000112,chinese and white - ethnic category 2001 census,92601000000109,
4740361000006111,"other ethnic, asian/white origin",186021006,
158361000000116,asian and chinese - ethnic category 2001 census,92611000000106,
141351000000111,other mixed background - ethnic category 2001 census,92451000000107,
4740381000006118,"other ethnic, mixed white origin",186022004,
781081000006113,indian,414481008,
1968131000006112,asian/asian brit: indian - eng+wales ethnic cat 2011 census,976791000000107,
1968301000006118,asian or asian british: indian - ni ethnic cat 2011 census,977591000000103,
157271000000119,indian or british indian - ethnic category 2001 census,110751000000108,
1564921000006112,indian,1564921000006108,
285954016,indian,414481008,
1968491000006115,"asian: indian, indian scot/indian brit- scotland 2011 census",978111000000100,
250228011,indian origin,160519009,
1968141000006119,asian/asian british:pakistani- eng+wales eth cat 2011 census,976811000000108,
141361000000114,pakistani or british pakistani - ethnic category 2001 census,92461000000105,
285955015,pakistani,186002003,
1565441000006111,pakistani,1565441000006107,
1968311000006115,asian/asian british: pakistani - ni ethnic cat 2011 census,977711000000100,
196721000006111,race: pakistani,186002003,
1968481000006118,asian: pakistani/pakistani scot/pakistani brit- scot 2011,978071000000106,
1564291000006119,bangladeshi,1564291000006103,
1968501000006111,"bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011",978171000000105,
196631000006117,race: bangladeshi,186003008,
285956019,bangladeshi,186003008,
1968321000006111,asian/asian british: bangladeshi - ni ethnic cat 2011 census,977731000000108,
937541000006115,bangladeshi or british bangladeshi - ethn categ 2001 census,92471000000103,
1968151000006117,asian/asian brit: bangladeshi- eng+wales eth cat 2011 census,976831000000100,
286020010,other asian,315280000,
405069018,e afric asian/indo-carib (nmo),270465005,
141541000000115,east african asian - ethnic category 2001 census,92661000000108,
141521000000110,punjabi - ethnic category 2001 census,92641000000107,
141571000000114,caribbean asian - ethnic category 2001 census,92691000000102,
250243013,race: west indian,160531006,
1968341000006116,asian/asian british: other asian - ni ethnic cat 2011 census,977771000000105,
141381000000117,other asian background - ethnic category 2001 census,92481000000101,
937651000006117,other asian or asian unspecified ethnic category 2001 census,92701000000102,
411584018,indo-caribbean (nmo),275597009,
411583012,east african asian (nmo),275596000,
136081000000111,sri lankan - ethnic category 2001 census,86461000000107,
1968171000006110,asian/asian brit: other asian- eng+wales eth cat 2011 census,976871000000103,
141531000000112,kashmiri - ethnic category 2001 census,92651000000105,
141511000000116,mixed asian - ethnic category 2001 census,92631000000103,
250231012,west indian origin,160522006,
285977016,other asian (nmo),186013000,
459784018,other asian ethnic group,315281001,
141551000000117,tamil - ethnic category 2001 census,92671000000101,
157301000000116,sinhalese - ethnic category 2001 census,110781000000102,
285976013,indian sub-continent (nmo),186012005,
1968521000006118,asian: other asian group - scotland ethnic cat 2011 census,978211000000108,
250224013,asian origin,160515003,
141561000000119,british asian - ethnic category 2001 census,92681000000104,
412016016,o/e - asian origin,276029002,
1968361000006117,black/afri/carib/black brit: caribbean- ni eth cat 2011 cens,977811000000105,
1968551000006110,carib/black: caribbean/carib scot/carib brit- scotland 2011,978271000000103,
154401000000118,caribbean - ethnic category 2001 census,107691000000105,
5516681000006114,black caribbean/west india/guyana,270460000,
514611000006111,black caribbean,185988007,
1968191000006111,black/african/caribbn/black brit: caribbean - eng+wales 2011,976911000000101,
1564491000006115,central african,1564491000006104,
1968181000006113,black/african/carib/black brit: african- eng+wales 2011 cens,976891000000104,
285943014,black - other african country,185993005,
285971015,other african countries (nmo),186010002,
4917081000006119,central african republic,223522008,
141391000000115,african - ethnic category 2001 census,92491000000104,
