med_code_id,term,observations,snomed_ct_concept_id
16862,Sleep drunkenness,51,
64389,[X]Ment & behav dis due use alcohol: unsp ment & behav dis,32,
36748,Alcoholic encephalopathy,768,
110671,Controlled drinking regime,1,
94553,Referral to specialist alcohol treatment service,2263,
103069,[X]Acc poison/expos alcohol school/pub admin area,1,
66019,Suspect fetal damage from maternal alcohol,27,
63306,[X]Accident poison/exposure to alcohol at home,14,
2925,Alcoholic polyneuropathy,1603,
31569,Nondependent alcohol abuse in remission,202,
24984,Alcohol-induced chronic pancreatitis,1126,
41920,Alcohol amnestic syndrome NOS,8,
9169,[D]Alcohol blood level excessive,2769,
16225,Alcohol withdrawal delirium,2167,
19401,Binge drinker,35717,
24485,Chronic alcoholism in remission,551,
32964,Alcohol abuse monitoring,10825,
19494,Hazardous alcohol use,23260,
8388,[V]Alcohol rehabilitation,1808,
26323,[X]Alcoholic dementia NOS,926,
37691,[X]Chronic alcoholic brain syndrome,362,
30404,Alcoholic paranoia,221,
12982,Alcohol intake above recommended sensible limits,196901,
59414,[X]Intent self poison alcohol unspecif place,48,
7885,Alcoholic liver damage unspecified,15925,
18252,"Accidental poisoning by alcohol, NEC",1743,
21879,[X]Mental and behav dis due to use of alcohol: harmful use,596,
88997,Methyl alcohol causing toxic effect,5,
40530,"Acute alcoholic intoxication, unspecified, in alcoholism",269,
45169,[X]Men & behav dis due to use alcohol: oth men & behav dis,30,
5740,Acute alcoholic intoxication in alcoholism,8096,
12271,Drunkenness NOS,12053,
27518,Hangover (alcohol),491,
17777,Inebriety NOS,258,
3782,Intoxication - alcohol,59445,
20407,Drunkenness - pathological,520,
39738,[X]Evid alcoh invl determ by levl intox very sev alcoh intox,2,
73480,[X]Evid alcoh invol determ by level of intox mod alcoh intox,3,
33635,Chronic alcoholism NOS,3289,
1618,Heavy drinker - 7-9u/day,107943,
31605,[X]Accident poisoning/exposure to alcohol,409,
4915,Alcoholic cardiomyopathy,1561,
47555,Cerebral degeneration due to alcoholism,144,
109105,Refer to MH services deferred until alcohol misuse resolved,1,
24735,O/E - breath - alcohol smell,1411,
65754,Alcohol-induced pseudo-Cushing's syndrome,24,
96053,Brief intervention for excessive alcohol consumptn completed,162061,
669,"Nondependent alcohol abuse, unspecified",66141,
7123,[V]Personal history of alcoholism,2020,
21713,Alcoholic fibrosis and sclerosis of liver,313,
102086,Rubbing alcohol causing toxic effect,2,
66699,Fetus and newborn affected by maternal use of alcohol,18,
26106,Episodic chronic alcoholism,707,
108644,In-house alcohol detoxification,104,
19217,Alcohol causing toxic effect,1890,
5758,[X]Chronic alcoholism,2770,
101718,Drinks in morning to get rid of hangover,25,
109675,Hospital alcohol liaison team report received,27,
8430,H/O: alcoholism,10503,
32850,Alcohol use disorders identification test,2871,
18636,Wernicke-Korsakov syndrome,689,
62000,[X]Men & behav dis due alcoh: resid & late-onset psychot dis,38,
1476,Delirium tremens,2396,
55536,Ethyl alcohol causing toxic effect NOS,11,
44299,[X]Mental & behav dis due to use alcohol: acute intoxication,1060,
11106,Korsakov's alcoholic psychosis with peripheral neuritis,126,
56947,Continuous acute alcoholic intoxication in alcoholism,67,
10161,O/E - alcoholic breath,7142,
31443,Chronic alcoholism,4899,
12442,Alcohol disorder monitoring,22107,
12950,[X]Eviden of alcohl involv blood alcohl level <20 mg/100 ml,363,
