med_code_id,term,observations,snomed_ct_concept_id
20772,Unknown,407,
98061,Unknown,19,
44478,Unknown,21,
22582,Unknown,149,
46825,Unknown,50,
98277,Unknown,1090,
3169,Unknown,1308,
38731,Unknown,81,
36416,Unknown,101,
18820,Unknown,1134,
102523,Unknown,2,
94023,Unknown,13,
26626,Unknown,110,
45452,Unknown,2,
65824,Unknown,12,
58810,Unknown,8,
1005,Unknown,11339,
64953,Unknown,3,
49279,Unknown,2,
58076,Unknown,47,
112574,Unknown,3,
100291,Unknown,4,
61878,Unknown,191,
98383,Unknown,3,
36795,Unknown,57,
30949,Unknown,31,
88479,Unknown,25,
59298,Unknown,1,
98317,Unknown,5,
61100,Unknown,12,
55535,Unknown,47,
50529,Unknown,35,
90551,Unknown,2,
42748,Unknown,86,
65330,Unknown,4,
51418,Unknown,40,
53164,Unknown,110,
95578,Unknown,9,
5714,Unknown,117,
69021,Unknown,1,
69556,Unknown,2,
114866,Unknown,2,
114566,Unknown,1,
19957,Unknown,270,
19019,Unknown,1678,
16538,Unknown,32,
56575,Unknown,55,
49625,Unknown,38,
65024,Unknown,6,
25735,Unknown,336,
66308,Unknown,16,
95360,Unknown,25,
98917,Unknown,2,
91892,Unknown,20,
44488,Unknown,234,
49272,Unknown,40,
16636,Unknown,456,
58886,Unknown,8,
91693,Unknown,26,
56571,Unknown,10,
49355,Unknown,63,
49551,Unknown,53,
62376,Unknown,15,
58734,Unknown,23,
93561,Unknown,10,
72604,Unknown,7,
20466,Unknown,146,
91533,Unknown,136,
28367,Unknown,81,
36606,Unknown,102,
96488,Unknown,9,
37657,Unknown,64,
61794,Unknown,31,
67299,Unknown,21,
39029,Unknown,74,
89333,Unknown,101,
40582,Unknown,137,
72577,Unknown,3,
100065,Unknown,2,
38968,Unknown,74,
3625,Unknown,8285,
31518,Unknown,121,
90486,Unknown,22,
113730,Unknown,2,
43855,Unknown,186,
94191,Unknown,3,
12752,Unknown,123,
63297,Unknown,36,
9232,Unknown,47,
44767,Unknown,37,
16731,Unknown,36,
113950,Unknown,1,
106756,Unknown,2,
115567,Unknown,1,
65234,Unknown,26,
40949,Unknown,73,
561,Unknown,56563,
9450,Unknown,5716,
1294,Unknown,14304,
28174,Unknown,50,
17605,Unknown,35,
53696,Unknown,22,
46530,Unknown,101,
44690,Unknown,27,
59659,Unknown,4,
37451,Unknown,17,
94344,Unknown,2,
98273,Unknown,20,
99614,Unknown,4,
73602,Unknown,17,
999,Unknown,23842,
70853,Unknown,10,
57932,Unknown,49,
24789,Unknown,599,
17812,Unknown,743,
39992,Unknown,293,
86763,Unknown,27,
99128,Unknown,18,
