med_code_id,term,observations,snomed_ct_concept_id
93878,Unknown,10.0,
42567,Unknown,11.0,
109628,Unknown,2.0,
40682,Unknown,133.0,
99231,Unknown,1.0,
108007,Unknown,1.0,
30323,Unknown,764.0,
108360,Unknown,3.0,
21983,Unknown,5.0,
66145,Unknown,1.0,
49146,Unknown,1.0,
47650,Unknown,47.0,
31141,Unknown,79809.0,
62613,Unknown,4.0,
85660,Unknown,7769.0,
33969,Unknown,158.0,
49949,Unknown,14.0,
42831,Unknown,31.0,
24490,Unknown,3994.0,
111483,Unknown,127.0,
44033,Unknown,58.0,
45914,Unknown,21.0,
110400,Unknown,1.0,
38161,Unknown,20.0,
14050,Unknown,2710.0,
38617,Unknown,46.0,
61829,Unknown,6.0,
1682,Unknown,21693.0,
70448,Unknown,4.0,
39070,Unknown,126.0,
62209,Unknown,79.0,
30294,Unknown,648.0,
113197,Unknown,2.0,
18683,Unknown,68.0,
42505,Unknown,585.0,
47649,Unknown,34.0,
62352,Unknown,1.0,
96235,Unknown,34.0,
22871,Unknown,97.0,
97474,Unknown,7.0,
46850,Unknown,20.0,
97446,Unknown,2.0,
55239,Unknown,676.0,
113863,Unknown,1.0,
24694,Unknown,3.0,
97281,Unknown,1807.0,
69748,Unknown,16.0,
10418,Unknown,577.0,
95343,Unknown,29.0,
43921,Unknown,67.0,
13192,Unknown,122418.0,
69676,Unknown,74.0,
18230,Unknown,3.0,
91942,Unknown,6.0,
99311,Unknown,1.0,
40837,Unknown,342.0,
108724,Unknown,5.0,
24423,Unknown,972.0,
17247,Unknown,351.0,
17858,Unknown,7238.0,
42360,Unknown,191.0,
70766,Unknown,6.0,
40023,Unknown,11.0,
18642,Unknown,13.0,
91943,Unknown,1.0,
46301,Unknown,40.0,
94330,Unknown,645.0,
111106,Unknown,1.0,
66872,Unknown,8.0,
19807,Unknown,47.0,
93468,Unknown,8.0,
35288,Unknown,546.0,
102620,Unknown,1.0,
51957,Unknown,12.0,
110379,Unknown,1004.0,
97894,Unknown,3.0,
12455,Unknown,1081.0,
18387,Unknown,750.0,
53200,Unknown,173.0,
46079,Unknown,733.0,
68390,Unknown,15.0,
109837,Unknown,3.0,
114401,Unknown,1.0,
102704,Unknown,14555.0,
115410,Unknown,1.0,
60107,Unknown,4.0,
69993,Unknown,21.0,
105337,Unknown,24.0,
68792,Unknown,90.0,
102740,Unknown,1.0,
54008,Unknown,81.0,
41049,Unknown,15.0,
67853,Unknown,231.0,
60208,Unknown,3.0,
47582,Unknown,64.0,
49554,Unknown,24.0,
17545,Unknown,7.0,
95992,Unknown,1.0,
42729,Unknown,15.0,
104453,Unknown,289.0,
68105,Unknown,16.0,
61344,Unknown,6.0,
102112,Unknown,15.0,
98392,Unknown,16.0,
113975,Unknown,1.0,
37315,Unknown,415.0,
113115,Unknown,7.0,
110997,Unknown,6.0,
1549,Unknown,149340.0,
63017,Unknown,1.0,
93922,Unknown,10.0,
10692,Unknown,8977.0,
13194,Unknown,1658092.0,
C10FA11,Unknown,,
C109K00,Unknown,,
66At111,Unknown,,
C109711,Unknown,,
C109300,Unknown,,
C10P100,Unknown,,
C109.13,Unknown,,
C109412,Unknown,,
C109211,Unknown,,
C109311,Unknown,,
ZV13F00,Unknown,,
C10F800,Unknown,,
C100100,Unknown,,
C10H.00,Unknown,,
C109F11,Unknown,,
C10F700,Unknown,,
C10F211,Unknown,,
C109J11,Unknown,,
C109J12,Unknown,,
C10FM11,Unknown,,
C109.11,Unknown,,
C109111,Unknown,,
C10P111,Unknown,,
C10FE11,Unknown,,
C105100,Unknown,,
C10FF00,Unknown,,
C109A11,Unknown,,
C109400,Unknown,,
C10FK11,Unknown,,
C109800,Unknown,,
C109D12,Unknown,,
C109500,Unknown,,
C10F.11,Unknown,,
C10F811,Unknown,,
C109900,Unknown,,
212H.00,Unknown,,
C11y000,Unknown,,
C10FB00,Unknown,,
C10F900,Unknown,,
L180811,Unknown,,
C109H00,Unknown,,
C10FQ00,Unknown,,
