med_code_id,term,observations,snomed_ct_concept_id
98447,Ex-smoker annual review - enhanced services administration,213,
58597,Stop smoking monitor phone inv,10815,
18573,Referral to smoking cessation advisor,217482,
12941,Occasional smoker,198852,
101325,Declin cons follow-up evaluation after smoking cess interven,323,
12946,Ex-smoker - amount unknown,421516,
107792,[X]Mental and behav dis due to use tobacco: dependence syndr,5,
12945,Rolls own cigarettes,136968,
12964,Keeps trying to stop smoking,15305,
32356,Smoking review not indicated,2304,
776,Stopped smoking,487466,
98177,Non-smoker annual review - enhanced services administration,14950,
33,Never smoked tobacco,27398625,
106391,Referral to smoking cessation service declined,22681,
12944,Light smoker - 1-9 cigs/day,744619,
103760,COPD structured smoking assessment declined,8,
26096,Smokes drugs,2244,
101634,Consent given follow-up after smoking cessation intervention,28,
68658,Tobacco dependence NOS,526,
98283,COPD structured smoking assessment declined - enh serv admin,52,
101764,Practice based smoking cessation programme start date,5781,
12961,Ex-trivial smoker (<1/day),74314,
3568,Heavy smoker - 20-39 cigs/day,565409,
90522,Smoking cessation therapy NOS,10118,
74907,Smoking cessation therapy,122960,
94958,Smoking cessation drug therapy,14456,
12958,Trivial smoker - < 1 cig/day,147235,
100963,Ex-smoker annual review,1701,
106359,Referral to smoking cessation service,14968,
98154,Referral to NHS stop smoking service,44919,
101519,[X]Mental and behav dis due to use tobacco: withdrawal state,2,
66387,Stop smoking monitor 3rd lettr,6364,
42722,Stop smoking monitor 1st lettr,114702,
31114,Ready to stop smoking,20596,
40418,Refuses stop smoking monitor,15691,
105711,Total time smoked,1303,
102361,Referral for smoking cessation service offered,15301,
28834,Anti-smoking monitoring admin.,31665,
98493,Smoking cessatn monitor template complet - enhanc serv admin,196,
10558,Current smoker,2656842,
63901,Stop smoking monitoring delete,116,
96992,Smoking cessation - enhanced services administration,2444,
9045,Advice on smoking,11248,
101385,Consent given for follow-up by smoking cessation team,2244,
12956,Ex-heavy smoker (20-39/day),216840,
12240,Trying to give up smoking,247586,
43433,Toxic effect of tobacco and nicotine,47,
12619,Excepted from smoking quality indicators: Informed dissent,79983,
91708,Other specified smoking cessation therapy,3376,
112529,[X]Mental & behav dis due to use tobacco: psychotic disorder,1,
35055,[V]Tobacco abuse counselling,125,
100495,Ex roll-up cigarette smoker,827,
12954,[V]Tobacco use,184,
72700,[V]Personal history of tobacco abuse,17,
98137,Brief intervention for smoking cessation,26650,
11788,Non-smoker,1214391,
101210,Consent given for smoking cessation data sharing,636,
93,Cigarette smoker,9764127,
111853,[X]Mental & behav dis due to use tobacco: acute intoxication,1,
12951,Smoking restarted,10509,
19488,Ex cigar smoker,9082,
10742,Referral to stop-smoking clinic,100182,
97973,Maternal tobacco abuse,4,
7130,Stop smoking monitoring admin.,48165,
32083,Stop smoking clinic admin.,10656,
108966,Smoking cessation ESA monitoring template completed,2,
54,Tobacco consumption,3229373,
70746,"Tobacco dependence, continuous",48,
103507,Stop smoking service opportunity signposted,8977,
53101,Stop smoking monitor verb.inv.,2990,
60720,Stop smoking monitor 2nd lettr,17970,
99838,Recently stopped smoking,4549,
10211,Smoking cessation milestones,157003,
38112,Smoking cessation programme start date,35389,
18926,Lifestyle advice regarding smoking,66760,
90,Ex smoker,13025081,
105501,Waterpipe tobacco consumption,484,
104185,Smoking cessation drug therapy declined,84671,
16717,Smokers' cough,3450,
101851,Declined consent for follow-up by smoking cessation team,7730,
7622,Smoking cessation advice,11937326,
106384,Stop smoking invitation second SMS text message,293,
56144,[X]Mental and behav dis due to use of tobacco: harmful use,4,
108503,Ex user of electronic cigarette,95,
1823,Smoker,428567,
12952,Smoking started,12707,
95610,"Tobacco dependence, unspecified",43,
40417,Stop smoking monitor default,2399,
12953,Attends stop smoking monitor.,80476,
98284,Refer COPD structured smoking assessment - enhanc serv admin,76,
61905,[X]Mental and behavioural disorder due to use of tobacco,18,
12942,Smoker - amount smoked,68757,
12966,Smoking reduced,8039,
12878,Date ceased smoking,78414,
105572,Stop smoking invitation short message service text message,4333,
100099,Smoking cessation advice declined,118180,
12955,Ex-moderate smoker (10-19/day),414279,
101878,Non-smoker annual review,56,
108835,"Tobacco dependence, episodic",5,
30644,Excepted from smoking quality indicators: Patient unsuitable,22865,
104086,Stop smoking invitation first SMS text message,3909,
110692,Varenicline smoking cessation therapy offered,157,
10898,Smoking free weeks,12776,
32687,Tobacco dependence,8823,
72706,Tobacco dependence in remission,377,
11527,DNA - Did not attend smoking cessation clinic,37856,
46321,Reason for restarting smoking,268,
30762,Not interested in stopping smoking,37874,
101338,Failed attempt to stop smoking,4968,
30423,Thinking about stopping smoking,26362,
2111,Health ed. - smoking,3786268,
98347,Current smoker annual review - enhanced services admin,215,
112418,Tobacco deposit on teeth,1,
101854,Declined consent for smoking cessation data sharing,211,
10184,Pregnancy smoking advice,4730,
12965,Cigarette consumption,28593,
11356,Seen by smoking cessation advisor,313241,
12959,Ex-very heavy smoker (40+/day),46874,
12943,Cigar smoker,85668,
12947,Pipe smoker,82903,
26470,Ex pipe smoker,12824,
12957,Ex-light smoker (1-9/day),265983,
105999,Smokes drugs in cigarette form,31,
60,Current non-smoker,3403654,
102951,Lost to smoking cessation follow-up,302,
12960,Tobacco consumption NOS,30537,
1822,Very heavy smoker - 40+cigs/d,51153,
1878,Moderate smoker - 10-19 cigs/d,1114156,
34126,Negotiated date for cessation of smoking,87520,
21637,Stop smoking monitor admin.NOS,16301,
105710,Smoking cessation 12 week follow-up,201,
97210,Ex-cigarette smoker,13768,
62686,Minutes from waking to first tobacco consumption,8487,
103400,Referred for COPD structured smoking assessment,6,
107292,User of electronic cigarette,11987,
19485,Stop smoking monitor.chck done,16332,
104310,Current smoker annual review,5237,
98245,Stop smoking face to face follow-up,1887,
12967,Pipe tobacco consumption,11718,
46300,Cigarette pack-years,14149,
41979,Smoking restarted,1611,
41042,Smoking cessation advice provided by community pharmacist,1557,
106385,Stop smoking invitation third SMS text message,136,
104230,Smoking cessation programme declined,38207,
