med_code_id,term,snomed_ct_concept_id,observations
103844015,Acquired immune deficiency syndrome,62479008,6000
825831000006113,Pneumocystosis associated with AIDS,420403001,800
908851000006113,[RFC] AIDS/HIV,908851000006109,300
825771000006119,Kaposi's sarcoma associated with AIDS,420524008,200
906841000006112,[RFC] HIV/AIDS,906841000006108,90
287023017,Mycobacteriosis associated with AIDS,420818005,80
264418012,Notification of AIDS,170530008,80
3515761000006110,AIDS,62479008,60
474391000006110,AIDS - First Presentation,474391000006106,10
474401000006112,AIDS - Subsequent Presentation,474401000006108,6
6973461000006110,Acquired immune deficiency syndrome dementia complex,421529006,1
6973421000006116,Dementia associated with AIDS,421529006,1
925451000006113,AIDS carrier,925451000006109,1
