med_code_id,term,snomed_ct_concept_id,observations
8037691000006113,Atrial fibrillation with rapid ventricular response (disorder),120041000119109,200
2608251000000116,Atypical atrial flutter (disorder),15964901000119107,200
6043781000006115,Rapid atrial fibrillation (disorder),314208002,400
82343012,Atrial fibrillation (disorder),49436004,4000000
3299911000006116,Atrial fibrillation (disorder),49436004,50
7610331000006110,Longstanding persistent atrial fibrillation (disorder),706923002,9
2608211000000115,Typical atrial flutter (disorder),720448006,90
14161691000006115,Paroxysmal atrial fibrillation with rapid ventricular response (disorder),1010405004,4
300130013,Atrial fibrillation and flutter (disorder),195080001,500000
300132017,Atrial fibrillation and flutter (disorder),195080001,30000
5057261000006110,Lone atrial fibrillation (disorder),233910005,20
350465014,Non-rheumatic atrial fibrillation (disorder),233911009,2000
421235014,Paroxysmal atrial fibrillation (disorder),282825002,700000
5669591000006113,Paroxysmal atrial fibrillation (disorder),282825002,60
5669601000006117,Paroxysmal atrial fibrillation (disorder),282825002,100
5669611000006119,Paroxysmal atrial fibrillation (disorder),282825002,9
5887651000006116,Controlled atrial fibrillation (disorder),300996004,20
7046981000006110,Chronic atrial flutter (disorder),425615007,1
2675253013,Chronic atrial fibrillation (disorder),426749004,400
2675306013,Paroxysmal atrial flutter (disorder),427665004,5000
636721000000112,Permanent atrial fibrillation (disorder),440028005,3000
636701000000115,Persistent atrial fibrillation (disorder),440059007,4000
9988012,Atrial flutter (disorder),5370000,200000
7731461000006119,Familial atrial fibrillation (disorder),715395008,3
