med_code_id,term,snomed_ct_concept_id,observations
100716012,Body mass index,60621009,66499074
253848011,Body mass index 30+ - obesity,162864005,270339
253847018,Body mass index index 25-29 - overweight,162863004,235946
253844013,Normal body mass index,35425004,149212
453856012,Body mass index less than 20,310252000,74427
253845014,Increased body mass index,48499001,24175
2474325012,Body mass index 20-24 - normal,412768003,10797
11923361000006119,Finding of body mass index,301331008,9963
2160062010,Body mass index 40+ - severely obese,408512008,7187
3484801000006114,BMI - Body mass index,60621009,6133
253846010,Decreased body mass index,6497000,5079
1900331000006113,Obese class III (body mass index equal to or greater than 40.0),914741000000103,1242
923861000006112,Body mass index,923861000006108,481
4553741000006118,BMI 30+ - obesity,162864005,113
5998281000006119,BMI less than 20,310252000,76
