med_code_id,term,snomed_ct_concept_id,observations
424365019,Acute infective exacerbation of chronic obstructive airways disease (disorder),285381006,40000
516801000000112,Very severe chronic obstructive pulmonary disease (disorder),293991000000106,50000
457169013,Moderate chronic obstructive pulmonary disease (disorder),313297008,800000
3013801000006116,Paraseptal emphysema (disorder),31898008,90
3013821000006114,Paraseptal emphysema (disorder),31898008,1
7049011000006110,Acute exacerbation of chronic bronchitis (disorder),425748003,800
1230190015,Unilateral emphysema (situation),45145000,600
161781000006116,Unilateral emphysema (situation),45145000,2
3228301000006115,Unilateral emphysema (situation),45145000,100
3228331000006111,Unilateral emphysema (situation),45145000,6
87480013,Chronic tracheobronchitis (disorder),52571006,100
105519017,Chronic bronchitis (disorder),63480004,80000
301457014,Chronic bronchitis (disorder),63480004,50
301458016,Chronic bronchitis (disorder),63480004,30
301459012,Chronic bronchitis (disorder),63480004,10000
7627141000006111,Pulmonary emphysema co-occurrent with fibrosis of lung (disorder),708030004,30
7627151000006113,Pulmonary emphysema co-occurrent with fibrosis of lung (disorder),708030004,10
123588010,Mucopurulent chronic bronchitis (disorder),74417001,2000
301448015,Mucopurulent chronic bronchitis (disorder),74417001,100
885281000006118,Mucopurulent chronic bronchitis (disorder),74417001,400
13651461000006115,Chronic bronchitis co-occurrent with wheeze (disorder),785736001,2
301469018,Pulmonary emphysema (disorder),87433001,500
301477019,Pulmonary emphysema (disorder),87433001,10000
301835010,Pulmonary emphysema (disorder),87433001,400
396110016,Pulmonary emphysema (disorder),87433001,300
640491000006111,Pulmonary emphysema (disorder),87433001,300000
3921361000006112,Pulmonary emphysema (disorder),87433001,10
508562012,Catarrhal bronchitis (disorder),89549007,1000
3955621000006112,Catarrhal bronchitis (disorder),89549007,7
14161381000006113,Emphysema of right lung (disorder),1010334009,20
8033221000006118,Chronic obstructive lung disease co-occurrent with acute bronchitis (disorder),106001000119101,1
1948051000006112,Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),10692761000119107,30000
9317331000006113,Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),10692761000119107,9
9317341000006115,Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),10692761000119107,80
216596014,End stage chronic obstructive airways disease (disorder),135836000,3000
4510801000006114,End stage chronic obstructive airways disease (disorder),135836000,2
27096010,Giant bullous emphysema (disorder),16003001,200
285100019,Chronic obstructive bronchitis (disorder),185086009,3000
285104011,Chronic obstructive bronchitis (disorder),185086009,20000
301455018,Chronic obstructive bronchitis (disorder),185086009,300
4733031000006114,Chronic obstructive bronchitis (disorder),185086009,2
301450011,Chronic asthmatic bronchitis (disorder),195949008,9000
301451010,Chronic asthmatic bronchitis (disorder),195949008,1000
183191000006115,Chronic asthmatic bronchitis (disorder),195949008,10000
301453013,Acute exacerbation of chronic obstructive airways disease (disorder),195951007,1000000
553211000006119,Acute exacerbation of chronic obstructive airways disease (disorder),195951007,100000
4781421000006111,Acute exacerbation of chronic obstructive airways disease (disorder),195951007,500
4781431000006114,Acute exacerbation of chronic obstructive airways disease (disorder),195951007,300
301456017,Mixed simple and mucopurulent chronic bronchitis (disorder),195953005,40
301470017,Acute vesicular emphysema (disorder),195963002,10
301572010,Chronic emphysema caused by chemical fumes (disorder),196026004,80
5054311000006111,Scar emphysema (disorder),233677001,5
2882311000006111,Vanishing lung (disorder),23958009,1
396108018,Bullous emphysema with collapse (disorder),266355005,200
8090191000006114,Acute exacerbation of chronic obstructive bronchitis (disorder),293241000119100,7
457168017,Mild chronic obstructive pulmonary disease (disorder),313296004,700000
457171013,Severe chronic obstructive pulmonary disease (disorder),313299006,500000
6213641000006118,Chronic mucus hypersecretion (disorder),360470001,90
9337016,Panacinar emphysema (disorder),4981000,300
301444018,Simple chronic bronchitis (disorder),61937009,100
508561017,Simple chronic bronchitis (disorder),61937009,10000
3589231000006114,Congenital lobar emphysema (disorder),66987001,5
113497011,Centriacinar emphysema (disorder),68328006,5000
3611791000006110,Centriacinar emphysema (disorder),68328006,20
139979010,Fetid chronic bronchitis (disorder),84409004,10
506053014,Fetid chronic bronchitis (disorder),84409004,200
3873191000006110,Fetid chronic bronchitis (disorder),84409004,2
2010061000006113,Acute non-infective exacerbation of chronic obstructive pulmonary disease (disorder),847091000000104,7000
8287171000006115,Acute non-infective exacerbation of chronic obstructive pulmonary disease (disorder),847091000000104,400
14161371000006110,Emphysema of left lung (disorder),1010333003,20
301539010,Chronic obstructive lung disease (disorder),13645005,5000
301545019,Chronic obstructive lung disease (disorder),13645005,400000
301836011,Chronic obstructive lung disease (disorder),13645005,200
475431013,Chronic obstructive lung disease (disorder),13645005,5000000
1222334016,Chronic obstructive lung disease (disorder),13645005,40
1222335015,Chronic obstructive lung disease (disorder),13645005,20000
555471000006114,Chronic obstructive lung disease (disorder),13645005,200000
