med_code_id,term,snomed_ct_concept_id,observations
50693015,Ventricular septal defect,30288003.0,100000
400800019,Atrial septal defect,70142008.0,60000
313317014,Patent foramen ovale,204317008.0,30000
120221015,Bicuspid aortic valve,72352009.0,30000
13062015,Coarctation of aorta,7305005.0,20000
143123019,Tetralogy of Fallot,86299006.0,20000
580501000006119,Congenital stenosis of aortic valve,18546004.0,10000
584801000006111,PV - Congenital pulmonary valve stenosis,67278007.0,9000
582721000006116,Congenital heart anomaly NOS,13213009.0,8000
22613011,Congenital heart disease,13213009.0,8000
40351000006119,Secundum atrial septal defect,204315000.0,7000
313344016,Other congenital heart anomalies,13213009.0,6000
103185010,Hypoplastic left heart syndrome,62067003.0,5000
126311000006111,Pulmonary artery stenosis,95441000.0,5000
46258015,Dextrocardia,27637000.0,5000
313273015,Transposition of great vessels,204296002.0,4000
1232445010,William syndrome,63247009.0,4000
313448017,Congenital heart anomaly NOS,13213009.0,3000
313336016,Common atrioventricular-type ventricular septal defect,204330009.0,3000
313369016,Ebstein's anomaly of tricuspid valve,204357006.0,3000
313302010,Ventricular septal defect NOS,30288003.0,3000
137888010,Eisenmenger's complex,204311009.0,2000
313386010,Pulmonary infundibular stenosis,204370002.0,2000
400805012,Cyanotic congenital heart disease,12770006.0,2000
313296015,"Ventricular septal defect, unspecified",30288003.0,2000
313356015,Congenital stenosis of pulmonary valve,67278007.0,2000
313382012,Subaortic stenosis,204368006.0,2000
313351013,Congenital atresia of the pulmonary valve,204342004.0,2000
377305014,Other specified atrial septal defect,70142008.0,2000
313343010,Heart bulb or septal closure defects NOS,268174004.0,1000
313327015,Ostium secundum atrial septal defect NOS,204318003.0,1000
313301015,Other specified ventricular septal defect,30288003.0,1000
588751000006110,Tricuspid atresia,63042009.0,1000
483917014,Coronary artery anomaly,28574005.0,1000
313454016,Coarctation of aorta NOS,7305005.0,1000
313492015,Pulmonary artery atresia,204443008.0,1000
313505013,Atresia of pulmonary artery with septal defect,204448004.0,1000
400798014,Discordant ventriculoarterial connection,204296002.0,900
13341010,Double outlet right ventricle,7484005.0,900
316833010,Congenital cardiac failure,206586007.0,900
1235125018,Fallot's tetralogy,86299006.0,800
400806013,Other anomalies of aorta,59877000.0,800
313458018,Congenital anomaly of aorta,59877000.0,800
377267018,Isomerism of atrial appendages,253335001.0,800
596141000006112,Congenitally corrected transposition of great arteries,83799000.0,700
11131000006110,Other specified heart anomalies,13213009.0,700
1908831000006118,Left ventricular outflow tract obstruction,253546004.0,700
116861000006111,Supravalvar aortic stenosis,268185002.0,600
31287015,Congenital aortic stenosis,18546004.0,600
313450013,Congenital hypoplasia of aortic arch,60787001.0,600
827091000006113,Holt - Oram syndrome,19092004.0,600
313294017,Tetralogy of Fallot NOS,86299006.0,600
452187019,Truncus arteriosus,61959006.0,600
75422012,Congenital dilatation of aorta,45237002.0,600
66470013,Scimitar syndrome,39905002.0,500
96991000006117,Total anomalous pulmonary venous connection,111323005.0,500
313439010,Congenital anomaly of heart valve,70320004.0,500
377499014,Ventricular septal defect in Fallot's tetralogy,253515003.0,500
18184019,Double aortic arch,10451007.0,500
193971000006119,Pulmonary valve anomalies,204339005.0,400
400796013,Bulbus cordis and cardiac septal closure anomalies,268174004.0,400
377172018,"Congenital heart disease, septal and bulbar anomalies",253264007.0,400
50694014,Interventricular septal defect,30288003.0,400
581341000006116,Congenital coronary arterio-venous fistula,253720000.0,400
400802010,Right hypoplastic heart syndrome,268180007.0,400
892941000006112,Bicuspid aortic valve - congen,72352009.0,400
377524013,Right ventricular outflow tract obstruction,253530007.0,400
400801015,Other specified ostium secundum atrial septal defect,204318003.0,400
193441000006115,Pulmonary artery anomalies,36110001.0,400
361057012,Persistent right aortic arch,111321007.0,300
313398017,Coronary artery anomaly NOS,28574005.0,300
400799018,"Tetralogy of Fallot, unspecified",86299006.0,300
92274014,Cor triatriatum,55510008.0,300
482711000006116,Aneurysm of sinus of Valsalva,54160000.0,300
37921000006114,Other anomaly of aorta NOS,59877000.0,300
377639017,Anomalies of the aorta excluding coarction,253615009.0,300
113349011,PAPVR - Partial anomalous pulmonary venous return,68237008.0,300
313353011,Congenital atresia of pulmonary valve,204342004.0,300
2478440016,Ohdo blepharophimosis syndrome,412787009.0,300
850841000006111,Truncus arteriosus,61959006.0,300
313472010,Aortic arch anomalies NOS,79439001.0,300
313322014,Persistent ostium secundum,204318003.0,300
29949011,Ostium primum defect,17718000.0,300
788771000006118,Hypoplasia of the pulmonary artery,54682008.0,300
75863013,Common ventricle,45503006.0,200
133392011,Roger's disease,80387009.0,200
126391000006118,Stenosis of superior vena cava,45492009.0,200
136773016,Congenital mitral stenosis,82458004.0,200
129848018,Ectopic heart,78250005.0,200
313486014,Other anomalies of aorta NOS,59877000.0,200
787901000006111,Hypoplastic aortic orifice or valve,253601007.0,200
80189019,Congenital cardiomegaly,48121000.0,200
2478795011,Vascular ring,66403007.0,200
315688018,Congenital anomaly of pulmonary artery,36110001.0,200
497741000006115,Atresia of pulmonary vein,204467000.0,200
510302016,Stenosis of aortic arch,93384001.0,200
313444015,Acyanotic congenital heart disease NOS,13213009.0,200
377307018,Interatrial septal defect NEC,70142008.0,200
315686019,[X]Other specified congenital malformations of the heart,13213009.0,200
583661000006114,"Congenital malformation of great arteries, unspecified",271573009.0,200
400807016,Hypoplasia of aorta,268184003.0,200
313506014,Other specified anomaly of pulmonary artery,36110001.0,200
313277019,Total great vessel transposition,204297006.0,200
28030016,Mesocardia,16567006.0,200
313425010,Atresia of heart valve NEC,13213009.0,200
405146019,Anomalous coronary artery communication,270510008.0,200
313515019,Total anomalous pulmonary venous return,111323005.0,200
580471000006114,Congenital insufficiency of aortic valve,28656008.0,200
221871000000110,Interrupted aortic arch,218728005.0,200
313349014,"Pulmonary valve anomaly, unspecified",204339005.0,200
315681012,Congenital pulmonary valve abnormality,204339005.0,200
313365010,Congenital tricuspid atresia and stenosis,204354004.0,200
120034011,Postductal coarctation of aorta,72242008.0,100
892921000006117,Congenital pulmonary atresia,204342004.0,100
65931000006114,Vascular ring of aorta,66403007.0,100
641961000006119,Endocardial cushion defect,15459006.0,100
313352018,Hypoplasia of pulmonary valve,204343009.0,100
377171013,Hypoplasia of heart NOS,13213009.0,100
3610141000006114,Partial anomalous pulmonary venous connection,68237008.0,100
313511011,"Anomaly of the vena cava, unspecified",234132006.0,100
478039018,Aortopulmonary window,17024001.0,100
313362013,Fallot's trilogy,204351007.0,100
4824461000006111,ASD2 - Secundum atrial septal defect,204315000.0,100
315687011,[X]Other congenital malformations of aorta,59877000.0,100
313510012,"Anomaly of the pulmonary veins, unspecified",111322000.0,100
400797016,Other specified transposition of great vessels,204296002.0,100
13148012,Double outlet left ventricle,7368005.0,100
892881000006113,Septal defect NOS,268174004.0,100
748971000006111,Left ventricle to right atrial communication,41893002.0,100
13343013,Taussig-Bing syndrome,7484005.0,100
313485013,Atresia or stenosis of aorta NOS,204431007.0,100
313507017,Pulmonary artery anomaly NOS,36110001.0,100
36882018,Single coronary artery,21981000.0,100
36036010,Syncope anginosa,21470009.0,100
377308011,Auricular septal defect NOS,253366007.0,100
315698012,Congenital anomaly of tricuspid valve,4374004.0,90
3807431000006116,Small ventricular septal defect,80387009.0,90
313381017,Other specified heart anomalies,13213009.0,90
313360017,Other pulmonary valve anomalies,204339005.0,90
2478825010,Atresia of aorta,7438000.0,90
745331000006115,Levocardia,205769006.0,90
377219011,Transposition of aorta,253297008.0,80
571261000006119,Coarctation of pulmonary artery,26780008.0,80
313508010,Anomalies of great veins,204451006.0,80
126241000006115,Stenosis of inferior vena cava,62335009.0,80
129847011,Ectopia cordis,78250005.0,80
2475972010,Common atrium,253276007.0,80
313368012,Congenital tricuspid atresia or stenosis NOS,36233006.0,80
583621000006115,Congenital malformation of aortic and mitral valves unsp,70320004.0,80
313491010,"Pulmonary artery anomaly, unspecified",36110001.0,70
637121000000110,Congenital dextroposition of heart,341751000000103.0,70
28815012,Aortic septal defect,17024001.0,70
313364014,Other pulmonary valve anomaly NOS,204339005.0,70
313473017,Atresia and stenosis of aorta,204431007.0,70
229851000006112,Persistent truncus arteriosus,61959006.0,70
4164071000006111,Perimembranous ventricular septal defect,109428005.0,60
313524011,Absence of inferior vena cava,204463001.0,60
313280018,Incomplete great vessel transposition,204300001.0,60
801451000006114,Gerbode's defect,204312002.0,60
313396018,Congenital coronary aneurysm,204378009.0,60
4825241000006110,Pulmonary vein atresia,204467000.0,60
488481000006118,Aortic septal defect,17024001.0,60
