med_code_id,term,snomed_ct_concept_id,observations
1229885017,Microinfarct of heart (disorder),42531007,40
7065281000006117,Ischemic congestive cardiomyopathy (disorder),426856002,8
7084801000006112,Mixed myocardial ischemia and infarction (disorder),428196007,4
3191111000006116,Congenital coronary artery sclerosis (disorder),42866003,1
7093091000006111,Recent myocardial infarction (situation),428752002,2
7100421000006116,Recurrent coronary arteriosclerosis after percutaneous transluminal coronary angioplasty (disorder),429245005,1
7298951000006115,Arteriosclerosis of coronary artery bypass graft of transplanted heart (disorder),444855007,2
7844010,Preinfarction syndrome (disorder),4557003,5000
7845011,Preinfarction syndrome (disorder),4557003,90000
7847015,Preinfarction syndrome (disorder),4557003,8000
299741012,Preinfarction syndrome (disorder),4557003,5000
494261017,Preinfarction syndrome (disorder),4557003,6000
72571000006115,Preinfarction syndrome (disorder),4557003,60000
2571561000006118,Preinfarction syndrome (disorder),4557003,3
7475751000006117,Ischemic dilated cardiomyopathy due to coronary artery disease (disorder),472100003,20
2536395017,Coronary arteriosclerosis (disorder),53741008,200000
3371361000006117,Coronary arteriosclerosis (disorder),53741008,20
3371381000006110,Coronary arteriosclerosis (disorder),53741008,90
3371411000006113,Coronary arteriosclerosis (disorder),53741008,900
3371421000006117,Coronary arteriosclerosis (disorder),53741008,1000
299711010,Acute myocardial infarction of lateral wall (disorder),58612006,3000
3452181000006112,Acute myocardial infarction of lateral wall (disorder),58612006,5
455651000006114,Acute anteroseptal myocardial infarction (disorder),62695002,4000
3536581000006113,Coronary occlusion (disorder),63739005,30
3536601000006115,Coronary occlusion (disorder),63739005,4
457531000006110,Acute myocardial infarction of inferolateral wall (disorder),65547006,10000
3565871000006113,Acute myocardial infarction of inferolateral wall (disorder),65547006,10
109915012,Postmyocardial infarction syndrome (disorder),66189004,300
109916013,Postmyocardial infarction syndrome (disorder),66189004,500
3576371000006117,Postmyocardial infarction syndrome (disorder),66189004,2
455641000006112,Acute myocardial infarction of anterolateral wall (disorder),70211005,20000
3641641000006116,Acute myocardial infarction of anterolateral wall (disorder),70211005,10
7571611000006117,Acute ST segment elevation myocardial infarction of anterior wall involving right ventricle (disorder),703165004,1
7572221000006117,Subsequent ST segment elevation myocardial infarction of inferior wall (disorder),703209002,1
7572321000006112,Acute ST segment elevation myocardial infarction of inferior wall (disorder),703213009,80
7572331000006110,Acute ST segment elevation myocardial infarction of inferior wall (disorder),703213009,70
7572341000006117,Acute ST segment elevation myocardial infarction of inferior wall (disorder),703213009,6
7574041000006111,Mitral valve regurgitation due to and following acute myocardial infarction (disorder),703326006,1
7574481000006111,Subsequent non-ST segment elevation myocardial infarction (disorder),703360004,2
7574491000006114,Subsequent non-ST segment elevation myocardial infarction (disorder),703360004,6
116992017,Acute subendocardial infarction (disorder),70422006,9000
7696501000006114,Resting ischemia co-occurrent and due to ischemic heart disease (disorder),712866001,1
299714019,Acute myocardial infarction of inferior wall (disorder),73795002,90000
3699921000006110,Acute myocardial infarction of inferior wall (disorder),73795002,10
1234005010,Acute myocardial infarction of inferoposterior wall (disorder),76593002,3000
3745741000006117,Acute myocardial infarction of inferoposterior wall (disorder),76593002,7
3842391000006115,Ischemic contracture of left ventricle syndrome (disorder),82522008,2
13930031000006112,Delayed postmyocardial infarction pericarditis (disorder),827164008,10
13930051000006117,Delayed postmyocardial infarction pericarditis (disorder),827164008,1000
13935161000006114,Acute myocardial infarction of right ventricle (disorder),836293000,1
13935211000006117,Acute myocardial infarction of inferolateral wall with posterior extension (disorder),836295007,2
13941141000006111,Acute ST segment elevation myocardial infarction due to occlusion of mid portion of anterior descending branch of left coronary artery (disorder),840312002,7
13941161000006110,Acute ST segment elevation myocardial infarction due to occlusion of mid portion of anterior descending branch of left coronary artery (disorder),840312002,1
13941171000006115,Occlusion of mid portion of anterior descending branch of left coronary artery (disorder),840313007,20
13941191000006119,Occlusion of distal portion of anterior descending branch of left coronary artery (disorder),840315000,10
13941211000006118,Acute ST segment elevation myocardial infarction due to occlusion of distal portion of anterior descending branch of left coronary artery (disorder),840316004,1
