med_code_id,term,snomed_ct_concept_id,observations
8031751000006119,Dementia due to Parkinson's disease (disorder),101421000119107,20
8031761000006117,Dementia due to Parkinson's disease (disorder),101421000119107,1
8032911000006111,Early onset Alzheimer's disease with behavioral disturbance (disorder),105421000119105,5
8032931000006117,Early onset Alzheimer's disease with behavioral disturbance (disorder),105421000119105,1
4164891000006115,Kohlschutter's syndrome (disorder),109478007,1
8042791000006116,Lewy body dementia with behavioral disturbance (disorder),135811000119107,100
8042801000006115,Lewy body dementia with behavioral disturbance (disorder),135811000119107,1
8044941000006117,Depressed mood in Alzheimer's disease (disorder),142001000119106,10
26545010,Senile dementia (disorder),15662003,300000
359141000006111,Senile dementia (disorder),15662003,30000
7969281000006110,Dementia of the Alzheimer type with behavioral disturbance (disorder),1581000119101,40
7969371000006115,Dementia with behavioral disturbance (disorder),1591000119103,20
294635013,Uncomplicated senile dementia (disorder),191449005,90000
882201000006116,Uncomplicated senile dementia (disorder),191449005,5000
294641018,Presenile dementia with paranoia (disorder),191454001,400
294642013,Presenile dementia with depression (disorder),191455000,900
294645010,Senile dementia with paranoia (disorder),191458003,3000
294646011,Senile dementia with depression (disorder),191459006,4000
294648012,Senile dementia with delirium (disorder),191461002,3000
882211000006118,Senile dementia with delirium (disorder),191461002,500
4763081000006118,Senile dementia with delirium (disorder),191461002,1
294652012,Uncomplicated arteriosclerotic dementia (disorder),191463004,900
294653019,Arteriosclerotic dementia with delirium (disorder),191464005,80
294654013,Arteriosclerotic dementia with paranoia (disorder),191465006,400
294655014,Arteriosclerotic dementia with depression (disorder),191466007,400
542651000006110,Cerebral degeneration due to Creutzfeldt-Jakob disease (disorder),192818008,500
4768981000006114,Cerebral degeneration due to Creutzfeldt-Jakob disease (disorder),192818008,2
2825541000006118,Prion disease (disorder),20484008,7
295685013,Dementia co-occurrent and due to Pick's disease (disorder),21921000119103,4000
8009521000006114,Dementia co-occurrent and due to Pick's disease (disorder),21921000119103,3
