med_code_id,term,snomed_ct_concept_id,observations
424681000006118,"Recurrent reactive depressive episodes, severe, with psychosis (disorder)",1086471000000103,400
2730011000000110,Recurrent depression with current moderate episode (disorder),1089641000000100,30
294826016,"Moderate major depression, single episode (disorder)",15639000,50000
9901161000006119,Mild major depressive disorder co-occurrent with anxiety single episode (disorder),16265951000119109,20
9901281000006116,Severe major depressive disorder co-occurrent with anxiety single episode (disorder),16266991000119108,4
2798691000006112,Moderate recurrent major depression (disorder),18818009,20
294838013,"Recurrent major depressive episodes, moderate (disorder)",191611001,20000
294840015,"Recurrent major depressive episodes, severe, with psychosis (disorder)",191613003,10000
424551000006113,"Recurrent major depressive episodes, severe, with psychosis (disorder)",191613003,1000
424671000006116,"Recurrent major depressive episodes, severe, with psychosis (disorder)",191613003,4000
513861000006113,"Bipolar affective disorder, currently depressed, in full remission (disorder)",191634005,800
294894013,Atypical depressive disorder (disorder),191659001,1000
366561000006119,Atypical depressive disorder (disorder),191659001,1000
202561000006114,Prolonged depressive adjustment reaction (disorder),192049004,9000
423041000006119,Post-schizophrenic depression (disorder),231485007,200
5023901000006110,Post-schizophrenic depression (disorder),231485007,4
346972018,Endogenous depression first episode (disorder),231499006,80000
642461000006116,Endogenous depression first episode (disorder),231499006,50000
346973011,Masked depression (disorder),231500002,6000
426931000006117,Masked depression (disorder),231500002,100
296245018,Mixed anxiety and depressive disorder (disorder),231504006,2000
398351000006110,Mixed anxiety and depressive disorder (disorder),231504006,30000
398561000006117,Mixed anxiety and depressive disorder (disorder),231504006,300000
419841000006116,Mixed anxiety and depressive disorder (disorder),231504006,10000
488211000006112,Mixed anxiety and depressive disorder (disorder),231504006,8000000
5024071000006118,Mixed anxiety and depressive disorder (disorder),231504006,60
142541000006115,"Severe major depression, single episode (disorder)",251000119105,20000
2914841000006115,"Major depressive disorder, single episode with postpartum onset (disorder)",25922000,2
410861011,Endogenous depression - recurrent (disorder),274948002,200000
8089301000006110,"Reactive depressive psychosis, single episode (disorder)",288751000119101,20
441826016,Endogenous depression (disorder),300706003,200000
379781000006118,Endogenous depression (disorder),300706003,20000
296138013,Moderate depression (disorder),310496002,700000
296181011,Moderate depression (disorder),310496002,20000
6000711000006112,Moderate depression (disorder),310496002,20000
401866015,Severe depression (disorder),310497006,100000
223741000000112,Severe depression (disorder),310497006,9000
424531000006118,Severe depression (disorder),310497006,5000
426891000006114,Severe depression (disorder),310497006,500
426991000006118,Severe depression (disorder),310497006,100
432511000006119,Severe depression (disorder),310497006,20
3033261000006113,Recurrent major depression in partial remission (disorder),33135002,1
294824018,"Major depression, single episode (disorder)",36923009,30000
294832014,"Major depression, single episode (disorder)",36923009,9000
401766011,"Major depression, single episode (disorder)",36923009,400000
3094951000006111,"Major depression, single episode (disorder)",36923009,2
6337491000006116,Major depressive disorder (disorder),370143000,200
6337501000006112,Major depressive disorder (disorder),370143000,5
294843018,Recurrent major depression in full remission (disorder),46244001,1000
882821000006110,[X]Moderate depressive episode (disorder),465441000000108,10000
3606411000006115,Recurrent major depression in remission (disorder),68019004,20
3628471000006116,"Major depressive disorder, single episode with catatonic features (disorder)",69392006,9
296198011,Depressive disorder in remission (disorder),698957003,3000
7515151000006115,Depressive disorder in remission (disorder),698957003,60
7803731000006112,Minimal major depression single episode (disorder),720454007,1
379771000006116,Severe major depression with psychotic features (disorder),73867007,6000
1715191000006112,Severe major depression with psychotic features (disorder),73867007,10000
3700911000006115,Severe major depression with psychotic features (disorder),73867007,20
3743451000006110,"Severe major depression, single episode, without psychotic features (disorder)",76441001,70
182771000006112,"Recurrent major depressive episodes, severe (disorder)",764611000000100,9000
3767531000006119,"Severe major depression, single episode, with psychotic features, mood-congruent (disorder)",77911002,5
13902421000006110,Antenatal depression (disorder),788120007,30
294825017,"Mild major depression, single episode (disorder)",79298009,50000
1715181000006114,Moderate major depression (disorder),832007,10000
138421012,Agitated depression (disorder),83458005,100000
