med_code_id,term,snomed_ct_concept_id,observations
459309011,Arthropathy due to type 2 diabetes mellitus (disorder),314903002,8
459310018,Arthropathy due to type 2 diabetes mellitus (disorder),314903002,200
459311019,Arthropathy due to type 2 diabetes mellitus (disorder),314903002,30
84491000006118,Arthropathy due to type 2 diabetes mellitus (disorder),314903002,10
84861000006112,Arthropathy due to type 2 diabetes mellitus (disorder),314903002,2
1488898011,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder),395204000,1000
850691000006118,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder),395204000,400
1667891000000113,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder),395204000,70
14079871000006119,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus (disorder),395204000,3
616531000006116,Ketoacidosis due to type 2 diabetes mellitus (disorder),421750000,700
928581000006111,Ketoacidosis due to type 2 diabetes mellitus (disorder),421750000,2000
928591000006114,Ketoacidosis due to type 2 diabetes mellitus (disorder),421750000,70
6977421000006110,Ketoacidosis due to type 2 diabetes mellitus (disorder),421750000,2
14083991000006115,Ketoacidosis due to type 2 diabetes mellitus (disorder),421750000,3
292589019,Type II diabetes mellitus uncontrolled (finding),443694000,200
292590011,Type II diabetes mellitus uncontrolled (finding),443694000,10000
84481000006116,Type II diabetes mellitus uncontrolled (finding),443694000,1000
84851000006110,Type II diabetes mellitus uncontrolled (finding),443694000,600
281171000006119,Type II diabetes mellitus uncontrolled (finding),443694000,8000
7281511000006118,Type II diabetes mellitus uncontrolled (finding),443694000,3
7306751000006110,Brittle type II diabetes mellitus (finding),445353002,2
2287971000000119,Diabetes mellitus in remission (disorder),703136005,20000
8044171000006110,Neuropathic ulcer of toe due to type 2 diabetes mellitus (disorder),140381000119104,2
7968751000006116,Diabetes mellitus type 2 without retinopathy (disorder),1481000119100,2
292576013,Multiple complications due to type 2 diabetes mellitus (disorder),190388001,30
292577016,Multiple complications due to type 2 diabetes mellitus (disorder),190388001,2000
84541000006111,Multiple complications due to type 2 diabetes mellitus (disorder),190388001,200
84911000006119,Multiple complications due to type 2 diabetes mellitus (disorder),190388001,3
280581000006118,Multiple complications due to type 2 diabetes mellitus (disorder),190388001,300
14071211000006113,Multiple complications due to type 2 diabetes mellitus (disorder),190388001,1
292579018,Type II diabetes mellitus with ulcer (disorder),190389009,1000
