med_code_id,term,snomed_ct_concept_id,observations
813551000006113,Haemoglobin estimation,1022431000000105,73716624
411758010,Hb estimation,1022431000000105,246430
3113081000006110,Haemoglobin,38082009,1576
257180010,Haemoglobin - sample sent,165395000,1252
5519181000006114,Haemoglobin level estimation,271026005,1093
257189011,Haemoglobin normal,165399006,1043
257185017,Haemoglobin low,165397008,1038
257200015,Haemoglobin estimation NOS,1022431000000105,489
5519221000006117,Hb estimation,271026005,165
2153948016,Increased haemoglobin,131141003,51
257186016,Haemoglobin borderline low,165398003,51
