med_code_id,term,snomed_ct_concept_id,observations
25788011,Hearing loss,15188001,2000000
608101000006118,Deafness,15188001,400000
100850012,Sensorineural hearing loss,60700002,300000
25785014,Deafness,15188001,200000
407075014,Deafness symptom,272033007,100000
73470015,Conductive hearing loss,44057004,100000
399508011,Deafness NOS,272033007,100000
299259014,"Sensorineural hearing loss, bilateral",194424005,100000
253161014,Unilateral deafness,162342008,80000
253163012,Bilateral deafness,162344009,40000
470343013,Partial deafness,343087000,30000
883901000006119,Hearing loss NOS,679391000000103,20000
255425013,O/E - slightly deaf,164060004,20000
299245019,"Conductive hearing loss, bilateral",194417009,20000
299208013,Sudden hearing loss,79471008,10000
73473018,Conductive deafness,44057004,10000
348076010,High frequency deafness,232326009,10000
121916015,Noise-induced hearing loss,73415002,9000
1234119013,Mixed hearing loss,77507001,9000
100854015,Sensorineural deafness,60700002,8000
512317011,Congenital sensorineural deafness,95828007,8000
255426014,O/E - significantly deaf,164061000,7000
141844010,Sensory hearing loss,85571008,7000
1234118017,Mixed conductive and sensorineural deafness,77507001,7000
1173611000000119,Mild acquired hearing loss,737047001,6000
822981000006112,High frequency deafness,232326009,5000
411844019,O/E - deaf,275879008,5000
255437010,O/E - High tone deafness,164070002,4000
255434015,O/E - conductive deafness,44057004,4000
121849011,Neural hearing loss,73371001,4000
299248017,Conductive hearing loss NOS,44057004,4000
299240012,Unspecified conductive hearing loss,44057004,4000
2226381000000114,Mild sensorineural hearing loss,860851000000105,4000
299255015,Unspecified perceptive hearing loss,60700002,3000
502417018,Nerve deafness,73371001,3000
100857010,Perceptive deafness,60700002,3000
2226281000000117,Moderate sensorineural hearing loss,860801000000109,3000
299243014,Conductive hearing loss due to disorder of middle ear,194415001,3000
348075014,Chronic deafness,232325008,3000
299264013,"Mixed conductive and sensorineural hearing loss, bilateral",194429000,3000
299265014,Deaf mutism,61947007,3000
587171000006119,Noise induced deafness,73415002,3000
255433014,O/E -tune fork=conductive deaf,164068006,3000
255427017,O/E - very deaf,164062007,2000
299266010,Other specified forms of hearing loss,118230007,2000
1173631000000110,Moderate acquired hearing loss,737048006,2000
70962017,Low frequency deafness,42538001,2000
148551000006115,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",194425006,1000
2226361000000117,Profound sensorineural hearing loss,700454004,1000
2226301000000116,Severe sensorineural hearing loss,860811000000106,1000
100856018,Perceptive hearing loss,60700002,1000
1173671000000112,Profound acquired hearing loss,737050003,1000
255436018,O/E tune fork=perceptive deaf,164069003,1000
255435019,O/E - perceptive deafness,164069003,1000
377153018,Deafness due to congenital anomaly NEC,204224006,1000
3761211000006116,Mixed conductive AND sensorineural hearing loss,77507001,900
733941000006114,Low frequency deafness,42538001,900
299242016,Conductive hearing loss due to disorder of tympanic membrane,194414002,900
2264121000000111,Bilateral profound sensorineural hearing loss,877191000000104,900
299262012,Perceptive hearing loss NOS,60700002,800
2264161000000115,Bilateral congenital sensorineural hearing loss,877211000000100,800
255428010,O/E - completely deaf,164063002,700
1173651000000115,Severe acquired hearing loss,737049003,700
578361000006118,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side",194418004,500
286780017,Rubella deafness,186570004,500
299551011,[X]Other specified hearing loss,15188001,500
1234121015,Mixed deafness,77507001,500
7487951000006117,Deafness of left ear,473422006,400
11902971000006110,Unilateral deafness,162342008,400
7976771000006115,Severe hearing loss,3561000119106,300
608121000006111,Deafness - traumatic - NOS,9441002,300
7487941000006119,Deafness of right ear,473421004,300
4062831000006115,Congenital deafness,95828007,200
883891000006118,Deaf mutism NOS,694231000000100,200
989081000006119,Hearing loss NOS,15188001,200
883831000006117,Sudden hearing loss NOS,643761000000109,200
299241011,Conductive hearing loss due to disorder of external ear,194413008,200
299247010,Combined conductive hearing loss,194419007,200
2740721000006112,Hard of hearing,15188001,200
700951000006112,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",194428008,200
399507018,Ototoxicity - deafness,267677007,100
8317141000006115,Bilateral moderate sensorineural hearing loss,898071000000108,100
1173591000000110,Congenital prelingual deafness,699238006,100
918701000006116,Unilateral deafness,918701000006100,100
918721000006114,Bilateral deafness,918721000006105,100
299244015,Conductive hearing loss due to disorder of inner ear,194416000,100
8317161000006116,Bilateral mild sensorineural hearing loss,898081000000105,90
283305018,Deafness remedial therapy,183280009,90
113719012,Central hearing loss,68467004,80
8009061000006113,Mild to moderate hearing loss,21451000119101,80
3289111000006119,High frequency hearing loss,48758008,80
423881000006117,Psychogenic deafness,30169000,80
411470013,Drug ototoxicity - deafness,275482009,70
299550012,"[X]Deaf mutism, not elsewhere classified",61947007,70
3486101000006114,Sensory-neural hearing loss,60700002,60
622201000000110,Maternally inherited deafness,95828007,60
299261017,Combined perceptive hearing loss,194426007,60
2636241000006117,Complete deafness,8531006,60
4062721000006113,Bilateral hearing loss,95820000,60
918681000006119,Deafness,918681000006103,60
7078511000006111,Asymmetrical hearing loss,427772009,50
