med_code_id,term,snomed_ct_concept_id,observations
2548475019,On learning disability register,416075005.0,300000
628281000006114,Down's syndrome,41040004.0,60000
1129811000000119,Moderate learning disability,984671000000103.0,60000
1129781000000117,Severe learning disability,508171000000105.0,50000
1550041000000110,Mild learning disability,984661000000105.0,50000
151009017,Mental retardation,110359009.0,40000
378493013,Down's syndrome NOS,41040004.0,20000
146051000006113,"Severe mental retardation, IQ in range 20-34",40700009.0,9000
398811000006118,Moderate intellectual disability,61152003.0,8000
700071000006118,"Moderate mental retardation, IQ in range 35-49",61152003.0,8000
426591000006111,Severe intellectual disability,40700009.0,8000
507246016,"Mild mental retardation, IQ in range 50-70",86765009.0,8000
222101000000116,Sjogren-Larsson's syndrome,111303009.0,6000
424971000006111,Rett syndrome,68618008.0,5000
3161031000006112,Complete trisomy 21 syndrome,41040004.0,5000
345782015,Dysequilibrium syndrome,230782004.0,5000
1232445010,William syndrome,63247009.0,4000
398381000006119,[X]Mild mental retardation,86765009.0,4000
1550051000000113,Profound learning disability,984681000000101.0,4000
212911000006116,Prader-Willi syndrome,89392001.0,3000
295664013,Intellectual disability,110359009.0,3000
222121000000113,Trisomy 21,41040004.0,2000
295662012,Other specified mental retardation NOS,110359009.0,2000
127638013,Angelman syndrome,76880004.0,2000
345281011,Lennox-Gastaut syndrome,230418006.0,2000
893481000006117,Down's syndrome,41040004.0,2000
9881000006115,Other specified mental retardation,110359009.0,1000
158401000006118,Rubenstein - Tayi syndrome,45582004.0,1000
212921000006112,Prader-Willi Syndrome,89392001.0,1000
63896011,Cornelia de Lange syndrome,40354009.0,1000
4193701000006119,Sjögren-Larsson syndrome,111303009.0,1000
398231000006111,[X]Mental retardation,110359009.0,1000
398251000006116,[X]Mental subnormality NOS,110359009.0,1000
600811000006111,Cri du chat syndrome,70173007.0,1000
133918015,Marinesco-Sjogren syndrome,80734006.0,1000
1231577014,Biedl-Bardet syndrome,5619004.0,1000
1780502018,Smith-Magenis syndrome,401315004.0,900
882791000006118,Severe mental retardation,40700009.0,800
423501000006112,Profound intellectual disability,31216003.0,700
127639017,Happy puppet syndrome,76880004.0,700
10374011,Laurence-Moon-Biedl syndrome,5619004.0,600
636711000006113,Edward's syndrome - trisomy 18,51500006.0,600
377070012,Joubert syndrome,716997004.0,600
137341000006114,Smith - Lemli - Opitz syndrome,43929004.0,600
239991000006111,Patau syndrome,21111006.0,500
1494665012,Pallister-Killian syndrome,9527009.0,500
13784441000006119,Learning disability,110359009.0,500
398391000006116,Mild intellectual disability,86765009.0,500
426611000006117,[X]Severe mental subnormality,40700009.0,500
882771000006119,Mild mental retardation,86765009.0,500
1234038018,Angelman's syndrome,76880004.0,500
345138018,Aicardi Goutieres syndrome,230312006.0,400
88371000006116,Trisomy 21- mitotic nondisjunction mosaicism,205616004.0,400
1705901000006118,Angelman syndrome,76880004.0,400
8337561000006119,Significant learning disability,931001000000105.0,400
