med_code_id,term,snomed_ct_concept_id,observations
249291000006117,Palpitations,80313002,2000000
317328012,[D]Palpitations,80313002,200000
133268018,Palpitations,80313002,200000
252443016,Palpitations NOS,80313002,60000
317330014,[D]Palpitations NOS,80313002,30000
2333711000000119,Palpitations care pathway,907751000000109,200
4545611000006111,Palpitations - fluttering,161969004,40
5260231000006119,Palpitations - rapid,248648003,30
4545591000006117,Palpitations - bumping,161968007,10
4077411000006118,Intermittent palpitations,102590007,7
1984261000006117,Manchester triage - Palpitations,1984261000006101,7
8075371000006112,Regular palpitations,240231000000100,3
7095591000006118,Palpitations with regular rhythm,428919002,1
8075341000006116,Irregular palpitations,240221000000102,1
