med_code_id,term,snomed_ct_concept_id,observations
116049013,Polycystic ovaries,69878008,600000
2478811014,Polycystic ovarian syndrome,69878008,300000
13490341000006110,Polycystic ovary syndrome,237055002,8000
13603301000006119,Polycystic ovary,781067001,2000
3636241000006110,PCOS - Polycystic ovarian syndrome,69878008,1000
13490351000006112,PCOS- polycystic ovary syndrome,237055002,300
3636261000006114,Polycystic ovary syndrome,69878008,100
3636221000006115,PCO - Polycystic ovaries,69878008,80
3636201000006113,Polycystic ovarian disease,69878008,20
3636271000006119,PCOD - Polycystic ovarian disease,69878008,8
13931121000006117,Polycystic bilateral ovaries,830049001,5
13931211000006119,PCOS (polycystic ovary syndrome) of bilateral ovaries,830054005,1
13931191000006115,PCOS (polycystic ovary syndrome) of left ovary,830053004,1
13931111000006113,Polycystic right ovary,830048009,1
13931101000006110,Polycystic left ovary,830047004,1
