med_code_id,term,snomed_ct_concept_id,observations
457336018,Serum TSH (thyroid stimulating hormone) level,1022791000000101,41790671
457339013,Plasma TSH (thyroid stimulating hormone) level,1022801000000102,1367342
88771000006117,TSH (thyroid stimulating hormone) level,1027151000000105,164188
1494826011,TSH level,1027131000000103,33434
1780303012,Blood spot TSH (thyroid stimulating hormone) level,999201000000109,402
258498018,Serum TSH level normal,166336006,335
3563931000006118,TSH,65428006,208
6030091000006111,Serum TSH level,313440008,110
3563911000006112,Thyroid stimulating hormone,65428006,103
3494061000006119,TSH level,61167004,84
258499014,Serum TSH level abnormal,166337002,77
