med_code_id,term,snomed_ct_concept_id,observations
150921000006118,Serum cholesterol level,1005671000000105,37770826
2478443019,Serum total cholesterol level,994351000000103,4705249
1484985012,Plasma total cholesterol level,1017161000000104,1481513
186091018,Total cholesterol measurement,121868005,273264
405621000000116,Serum fasting total cholesterol level,1083761000000106,10480
667191000006111,Fasting serum cholesterol,667191000006107,6782
259229012,Serum cholesterol raised,166830008,4602
259252011,Serum cholesterol NOS,1005671000000105,1206
259227014,Serum cholesterol normal,166828006,1066
8292941000006114,Total cholesterol level,853681000000104,866
3877651000006116,Cholesterol,84698008,385
259228016,Serum cholesterol borderline,166829003,306
8290381000006115,Cholesterol level,850981000000101,290
551861000006118,Cholesterol screen,1015881000000105,266
259239018,Serum cholesterol studies,1026441000000100,225
6279041000006119,Serum cholesterol level,365794002,96
