med_code_id,term,snomed_ct_concept_id,observations
2982426011,Provision of smoking cessation leaflet,699033005.0,
604961000006114,Current Smoker NOS,604961000006105.0,
649851000006112,Ex- Rolled Tobacco Smoker,649851000006108.0,
649861000006114,Ex-Cigarette Smoker,649861000006105.0,
852111000006118,Gradual smoking reduction,852111000006102.0,
853001000006110,Ex-smoker NOS,853001000006106.0,
852991000006114,Ex-cigar smoker,,
854021000006115,Cigarette smoker,854021000006104.0,
854051000006112,Ex-pipe smoker,854051000006108.0,
854071000006119,Current smoker,854071000006103.0,
854111000006110,Past smoker,854111000006106.0,
854951000006113,Grade A non-smoker,854951000006109.0,
854961000006110,Grade B light smoker (1-10/day),854961000006106.0,
854981000006117,Grade C moderate smoker (11-20/day),854981000006101.0,
855001000006114,Grade D heavy smoker (>20 Day),855001000006105.0,
903981000006117,Not interested in stopping smoking,903981000006101.0,
904001000006111,Ready to stop smoking,904001000006107.0,
904021000006118,Previous smoking quit attempts,904021000006102.0,
904011000006114,Smoking cessation declaration signed by patient,904011000006105.0,
904031000006115,Thinking about stopping smoking,904031000006104.0,
904111000006113,Carbon monoxide validation confirms non-smoker,904111000006109.0,
904121000006117,Carbon monoxide validation confirms smoker,904121000006101.0,
961581000006114,Smokes/uses tobacco products,961581000006105.0,
1009271000006118,Non Smoker - Nos,1009271000006102.0,
1777011000006118,Reason for referral: Smoking Cessation,1777011000006102.0,
1771191000006119,Attends smoking cessation clinic not at practice,201941000000100.0,
137711000006111,Smoker (Read codes),137711000006107.0,
854151000006111,Date stopped smoking,854151000006107.0,
904191000006115,Smoking cessation motivation score,904191000006104.0,
904181000006118,Smoking cessation counselling,904181000006102.0,
904201000006117,Smoking cessation confidence score,904201000006101.0,
904211000006119,Smoking cessation service patient satisfaction score,904211000006103.0,
904221000006110,Smoking cessation bupropion therapy,904221000006106.0,
904231000006113,Smoking cessation counselling by telephone,904231000006109.0,
904241000006115,Smoking cessation counselling in person,904241000006104.0,
909391000006117,[RFC] Smoking cessation,909391000006101.0,
1591651000006110,Smoking cessation referral declined,1591651000006106.0,
1626121000006116,Smoking cessation drug therapy - varenicline,1626121000006100.0,
1819411000006114,Smoking increased,1819411000006105.0,
37311000006117,Other anti-smoking drug given,37311000006101.0,
852121000006114,Smoking cessation-maintain abstinence,852121000006105.0,
852131000006112,Smoking cessation-practice nurse support,852131000006108.0,
