med_code_id,term,snomed_ct_concept_id,observations
101130017,Tinnitus,60862001,1000000
102721000006110,Tinnitus symptoms,60862001,200000
299214018,Tinnitus NOS,60862001,30000
253173014,Ringing in ear,162352007,30000
253176018,Tinnitus symptom NOS,60862001,20000
299212019,Unspecified tinnitus,60862001,6000
103798013,Subjective tinnitus,62452009,3000
48076013,Objective tinnitus,28715001,300
7980921000006110,Bilateral tinnitus,4831000119102,100
5034691000006113,Pulsatile tinnitus,232322006,70
5034641000006116,Noise-induced tinnitus,232318001,20
5953181000006111,Referral to tinnitus management service,306222006,10
5034681000006110,Tinnitus of vascular origin,232322006,6
3488681000006111,Ringing in ears,60862001,3
3488671000006113,Noise in ears,60862001,1
4062791000006110,Nervous tinnitus,95824009,1
