med_code_id,term,snomed_ct_concept_id,observations
98461000006116,Total white cell count,1022541000000102,72695168
1485559011,Total white blood count,1022541000000102,417786
60301000006114,White cell count,1022541000000102,180316
60281000006110,White blood count,1022541000000102,174559
1485560018,Total white blood count,1022541000000102,1141
11927091000006115,Total white blood count,391558003,949
2510531000006114,White blood cell count,767002,607
257377016,Total white cell count NOS,1022541000000102,599
2510551000006119,WCC - White blood cell count,767002,165
12625771000006111,White blood cell count in blood,1110441000000100,101
257374011,White cell count normal,165507003,63
