med_code_id,term,snomed_ct_concept_id,observations
1738421000000111,Lower risk drinking,,
250312016,Light drinker - 1-2u/day,,
250340014,Alcohol intake within recommended sensible limits,,
342320016,Light drinker,,
397729013,Trivial drinker - <1u/day,,
629811000006113,Occasional drinker,,
629821000006117,Drinks rarely,,
1738341000000110,Increasing risk drinking,,
250313014,Moderate drinker - 3-6u/day,,
73012011,Moderate drinker,,
223671000000110,Hangover from alcohol,,
2502061000006114,Current drinker,,
2502071000006119,Alcohol user,,
2502081000006116,Drinks alcohol,,
2502091000006118,Current drinker of alcohol,,
250331010,Spirit drinker,,
250332015,Beer drinker,,
250333013,Drinks beer and spirits,,
250334019,Drinks wine,,
3024491000006118,Hangover,,
346930019,Inebriety NOS,,
4533361000006116,Drinker of hard liquor,,
47085011,Social drinker,,
4978131000006112,Home drinker,,
4978411000006113,Drinks alcohol evenly through week,,
4978421000006117,Drinks alcohol unevenly through week,,
4978431000006119,Weekend drinker,,
4978451000006114,Bout drinker,,
4978461000006111,Episodic drinker,,
4978491000006115,Daily drinker,,
4978501000006111,Drinks alcohol daily,,
4978511000006114,Habitual drinker,,
6006211000006116,Drinking alcohol,,
7334601000006116,Drinks alcoholic cider,,
7334611000006118,Cider drinker,,
7334621000006114,Drinks cider,,
7967731000006110,Decreased alcohol consumption,,
8229891000006112,Drinks real ale,,
970431000006112,Misuse of Beer or Cider,,
250335018,Alcohol intake above recommended sensible limits,,
299061000000117,Hazardous alcohol use,,
144179014,Heavy drinker,,
1738381000000119,Higher risk drinking,,
250314015,Heavy drinker - 7-9u/day,,
250316018,Very heavy drinker - >9u/day,,
2740831000000114,Harmful use of alcohol,,
299081000000114,Harmful alcohol use,,
342322012,Very heavy drinker,,
342366014,Binge drinker,,
4533231000006117,Very heavy drinker - greater than 9 units/day,,
4533441000006111,XS - Excessive alcohol consumption,,
4533451000006113,Excessive alcohol consumption,,
4533461000006110,Excessive alcohol use,,
4977991000006113,Fairly heavy drinker,,
1806211000006115,Unsuccessful attempts to reduce alcohol consumption,,
2911291000006114,Acute alcohol intoxication,,
2911301000006110,Drunk,,
295251015,"Nondependent alcohol abuse, unspecified",,
295252010,"Nondependent alcohol abuse, continuous",,
295253017,"Nondependent alcohol abuse, episodic",,
295255012,Nondependent alcohol abuse NOS,,
342361016,Drinks in morning to get rid of hangover,,
342421016,Feels should cut down drinking,,
346931015,Drunkenness,,
362251000006117,Alcohol intoxication,,
397881000006114,Alcohol abuse,,
401797010,Nondependent alcohol abuse,,
4559361000006118,On examination - breath - alcohol smell,,
606991000000117,Alcohol misuse,,
769451000006111,Intoxication - alcohol,,
882531000006110,Non-dependent abuse of alcohol,,
4978011000006117,Secret drinker,,
4978021000006113,Hidden drinker,,
4978031000006111,Problem drinker,,
4978061000006119,Dependent drinker,,
4978161000006115,Park drinker,,
4978171000006110,Street drinker,,
4978261000006110,Isolated drinker,,
4978271000006115,Lone drinker,,
8103541000006113,Feels alcohol consumption is not a problem,,
8106921000006119,Feels it is not necessary to reduce alcohol consumption,,
500478011,Alcohol dependence syndrome,,
12878014,Alcoholism,,
295144019,Alcohol dependence syndrome NOS,,
476611000006116,Alcoholic cirrhosis of liver,,
13929361000006112,Alcohol detoxification,,
294674018,Alcohol withdrawal syndrome,,
110629012,Chronic alcoholism,,
283559019,Admitted to alcohol detoxification centre,,
251626014,H/O: alcoholism,,
295136019,Alcohol dependence,,
106878015,Alcohol detoxification,,
315091000000117,Alcohol withdrawal-induced seizure,,
353698013,Alcohol-induced chronic pancreatitis,,
138527014,Alcoholic cardiomyopathy,,
295127018,Acute alcoholic intoxication in alcoholism,,
362921000006118,[X]Alcohol addiction,,
753331000006118,Korsakov alcoholic psychosis,,
295143013,Chronic alcoholism NOS,,
370971000006114,[X]Chronic alcoholism,,
295142015,Chronic alcoholism in remission,,
15243013,Alcohol withdrawal delirium,,
295141010,Episodic chronic alcoholism,,
297011014,Alcoholic encephalopathy,,
15244019,Delirium tremens,,
453265010,Oesophageal varices in alcoholic cirrhosis of the liver,,
507053019,DTs - delirium tremens,,
294669014,Alcohol withdrawal hallucinosis,,
376451000006113,"[X]Delirium tremens, alcohol induced",,
478046010,Cerebellar ataxia due to alcoholism,,
2502971000006115,Dementia associated with alcoholism,,
295128011,"Acute alcoholic intoxication, unspecified, in alcoholism",,
294668018,Chronic alcoholic brain syndrome,,
451124014,Chronic alcoholic hepatitis,,
542611000006114,Cerebral degeneration due to alcoholism,,
2298341000000114,In-house alcohol detoxification,,
371501000000110,Delivery of rehabilitation for alcohol addiction,,
295132017,Acute alcoholic intoxication in alcoholism NOS,,
295130013,Episodic acute alcoholic intoxication in alcoholism,,
