med_code_id,term,snomed_ct_concept_id,observations
250335018,Alcohol intake above recommended sensible limits,,
299061000000117,Hazardous alcohol use,,
144179014,Heavy drinker,,
1738381000000119,Higher risk drinking,,
250314015,Heavy drinker - 7-9u/day,,
250316018,Very heavy drinker - >9u/day,,
2740831000000114,Harmful use of alcohol,,
299081000000114,Harmful alcohol use,,
342322012,Very heavy drinker,,
342366014,Binge drinker,,
4533231000006117,Very heavy drinker - greater than 9 units/day,,
4533441000006111,XS - Excessive alcohol consumption,,
4533451000006113,Excessive alcohol consumption,,
4533461000006110,Excessive alcohol use,,
4977991000006113,Fairly heavy drinker,,
1806211000006115,Unsuccessful attempts to reduce alcohol consumption,,
2911291000006114,Acute alcohol intoxication,,
2911301000006110,Drunk,,
295251015,"Nondependent alcohol abuse, unspecified",,
295252010,"Nondependent alcohol abuse, continuous",,
295253017,"Nondependent alcohol abuse, episodic",,
295255012,Nondependent alcohol abuse NOS,,
342361016,Drinks in morning to get rid of hangover,,
342421016,Feels should cut down drinking,,
346931015,Drunkenness,,
362251000006117,Alcohol intoxication,,
397881000006114,Alcohol abuse,,
401797010,Nondependent alcohol abuse,,
4559361000006118,On examination - breath - alcohol smell,,
606991000000117,Alcohol misuse,,
769451000006111,Intoxication - alcohol,,
882531000006110,Non-dependent abuse of alcohol,,
