med_code_id,term,snomed_ct_concept_id,observations
217461000000118,Non - drinker,,
291352018,Non-drinker alcohol,,
291355016,Teetotaller,,
4120351000006119,Does not drink alcohol,,
4120371000006112,Non - drinker alcohol,,
4120381000006110,Current non-drinker of alcohol,,
4120391000006113,Non-drinker for personal reasons,,
4120401000006110,Non-drinker for religious reasons,,
4120411000006113,Non-drinker for medical reasons,,
4977911000006115,Lifetime non-drinker,,
4977921000006111,Lifetime abstainer from drink,,
4977931000006114,Lifetime teetotaller,,
587231000006111,Non drinker alcohol,,
855071000006115,Grade A none drinker or rare,,
