med_code_id,term,snomed_ct_concept_id,observations
1210253015,Panic disorder,,
12127531000006113,Recurrent mild major depressive disorder co-occurrent with anxiety,,
12127541000006115,Recurrent severe major depressive disorder co-occurrent with anxiety,,
12127551000006118,Recurrent moderate major depressive disorder co-occurrent with anxiety,,
12127561000006116,Recurrent major depressive disorder co-occurrent with anxiety in full remission,,
12127571000006111,Recurrent major depressive disorder in partial remission co-occurrent with anxiety,,
121871000006118,Stress reaction causing mixed disturbance of emotion and conduct,,
1230451012,Adjustment reaction with anxious mood,,
138401000006119,Social phobic disorders,,
1488717011,C/O - panic attack,,
1808521000006110,Panic disorder without agoraphobia,,
223631000000113,Phobic disorders,,
223641000000116,Phobic anxiety disorder,,
2287071000000115,Anxiety about breathlessness,,
2335531000000117,Anxiety screening using questions,,
2335571000000115,Patient given advice about management of anxiety,,
253620013,O/E - anxious,,
2536376012,Anxiousness,,
2549138014,Depression anxiety stress scales anxiety score,,
2549895012,O/E - panic attack,,
2587471000006114,Panic disorder with agoraphobia AND severe panic attacks,,
2618361000000113,Referral for psychological management of anxiety,,
2630621000006112,Panic disorder with agoraphobia AND moderate panic attacks,,
2668441000006114,Work-related stress disorder,,
2682511000006110,"Anticipatory anxiety, mild",,
2712981000006115,Overanxious disorder of childhood,,
2848291000006116,Generalized anxiety disorder,,
2848301000006115,GAD - Generalized anxiety disorder,,
2848311000006117,GAD - Generalised anxiety disorder,,
2907991000006110,Social anxiety disorder,,
294953016,Anxiety state unspecified,,
294960010,Chronic anxiety,,
294961014,Recurrent anxiety,,
294963012,Anxiety state,,
294992011,Agoraphobia with panic attacks,,
294993018,Agoraphobia without history of panic disorder,,
294994012,"Social phobia, fear of eating in public",,
294995013,"Social phobia, fear of public speaking",,
294996014,"Social phobia, fear of public washing",,
295011010,Anancastic neurosis,,
295474019,Acute panic state due to acute stress reaction,,
295478016,Acute situational disturbance,,
295584016,Childhood and adolescent fearfulness disturbance,,
296224013,[X]Phobic anxiety disorders,,
296236019,[X]Other phobic anxiety disorders,,
296237011,"[X]Phobic anxiety disorder, unspecified",,
296238018,[X]Other anxiety disorders,,
296239014,[X]Panic disorder [episodic paroxysmal anxiety],,
296245018,[X]Other mixed anxiety disorders,,
296249012,"[X]Anxiety disorder, unspecified",,
296722013,Separation anxiety disorder of childhood,,
304838011,Anxiety state,,
3070671000006111,Anticipatory anxiety,,
3073541000006113,Panic disorder with agoraphobia,,
3090721000006114,"Anticipatory anxiety, moderate",,
3142901000006117,Cannabis-induced anxiety disorder,,
3265811000006112,Adjustment disorder with anxious mood,,
3265831000006118,Adjustment disorder with anxiety,,
3268061000006113,Posttraumatic stress disorder,,
3268081000006115,PTSD - Post-traumatic stress disorder,,
3268091000006117,Post-traumatic stress syndrome,,
3287741000006111,Anxiety,,
3287761000006110,Feeling anxious,,
3287771000006115,Anxiety reaction,,
3375111000006115,Panic disorder without agoraphobia with panic attacks in partial remission,,
339044013,Panic attack,,
342665019,Anxiety management training,,
346984016,Stage fright,,
346985015,Examination fear,,
3497371000006119,Moderate anxiety,,
3543571000006119,Avoidant disorder of childhood,,
3543591000006118,Childhood avoidant disorder,,
3558031000006116,Panic disorder without agoraphobia with moderate panic attacks,,
3592701000006118,Acute reaction to stress,,
362181000006117,[X]Acrophobia,,
362871000006111,Agoraphobia,,
362881000006114,[X]Agoraphobia without history of panic disorder,,
3630001000006116,Anxiety hyperventilation,,
363361000006117,[X]Anthropophobia,,
363641000006114,[X]Anxiety hysteria,,
363651000006111,Anxiety neurosis,,
363661000006113,[X]Anxiety NOS,,
363671000006118,[X]Anxiety reaction,,
363681000006115,[X]Anxiety state,,
363691000006117,Anxious personality disorder,,
3649691000006114,Phobia of going out,,
3654681000006114,Mild anxiety,,
366611000006116,[X]Avoidant disorder childhood,,
3684921000006110,Panic disorder without agoraphobia with mild panic attacks,,
370861000006110,[X]Childhood overanxious disorder,,
371071000006117,[X]Claustrophobia,,
371231000006113,[X]Combat fatigue,,
3798141000006117,Panic,,
3810661000006112,Severe anxiety (panic),,
3822891000006112,Free-floating anxiety,,
3854771000006114,Shyness disorder of childhood,,
388071000006116,[X]Generalized anxiety disorder,,
3950381000006113,Anxiety about blushing,,
3962111000006111,Panic disorder with agoraphobia AND mild panic attacks,,
398351000006110,[X]Mild anxiety depression,,
398561000006117,[X]Mixed anxiety and depressive disorder,,
401780016,Phobic disorder,,
401881014,[X]Other specified anxiety disorders,,
403931000006116,Organic anxiety disorder,,
405078012,Anxious mother,,
418031000006113,[X]Panic attack,,
418051000006118,[X]Panic disorder with agoraphobia,,
