med_code_id,term,snomed_ct_concept_id,observations
112523010,Aortic valve sclerosis,,
1232103019,Aortic valve stenosis,,
13948561000006114,Aortic valve bioprosthesis,,
188662011,Aortic valvuloplasty,,
270950019,Aortic valvuloplasty NEC,,
299989010,Aortic valve regurgitation,,
299990018,Aortic valve stenosis,,
299991019,Aortic valve stenosis with insufficiency,,
299992014,Aortic valve disorder,,
3138871000006116,Aortic valvotomy,,
3478261000006114,Aortic valve incompetence,,
374104011,Aortic valve calcification,,
3877451000006118,Aortic valve prosthesis,,
4214631000006117,Aortic valvoplasty,,
465381000000114,Aortic valve repair NEC,,
488521000006118,Aortic valve disease,,
488551000006110,Aortic valve opening restricted,,
5042011000006118,Aortic valve resuspension and replacement of ascending aorta,,
5042021000006114,Aortic valve replacement and replacement of ascending aorta,,
5042031000006112,Aortic valve replacement and aortoplasty,,
5042051000006117,Aortic valve replacement and plication of ascending aorta,,
5332151000006118,Aortic valve dysplasia,,
5332171000006111,Aortic valve cusp abnormality,,
5332231000006119,Aortic valve cusp prolapse,,
5890171000006117,Aortic valve vegetations,,
7574001000006114,Aortic valve regurgitation secondary to aortic dilation,,
