med_code_id,term,snomed_ct_concept_id,observations
129259017,Climacteric arthritis,,
13637111000006119,Spondyloarthritis,,
139708013,Lipoid dermatoarthritis (disorder),,
178460018,Periarthritis of wrist,,
1786699016,Periarthritis of shoulder,,
211281000006114,Post-immunization arthritis,,
2472449013,Juvenile seronegative polyarthritis (disorder),,
2549731014,Undifferentiated inflammatory arthritis,,
28671011,Allergic arthritis,,
309824019,Chronic arthritis of juvenile onset,,
309829012,Juvenile chronic arthritis,,
309833017,Juvenile arthritis in Crohn's disease (disorder),,
309836013,Juvenile arthritis in ulcerative colitis (disorder),,
310082019,Allergic arthritis of the shoulder region,,
310085017,Allergic arthritis of the hand,,
310086016,Allergic arthritis of the pelvic region and thigh,,
310088015,Allergic arthritis of the ankle and/or foot,,
310090019,Allergic arthritis of multiple sites,,
310096013,Climacteric arthritis of the shoulder region,,
310099018,Climacteric arthritis of the hand,,
310100014,Climacteric arthritis of the pelvic region and thigh,,
310102018,Climacteric arthritis of the ankle and/or foot,,
310104017,Climacteric arthritis of multiple sites,,
311044019,Other inflammatory spondylopathies NOS,,
311398011,Periarthritis,,
312523013,[X]Other juvenile arthritis,,
312611014,[X]Other specified inflammatory spondylopathies,,
32869011,Arthritis mutilans (disorder),,
3428911000006119,Felty syndrome,,
3528163014,Polyarticular juvenile idiopathic arthritis,,
359172014,Arthritis of elbow,,
359346011,Apatite-associated destructive arthritis,,
3709271000006110,Pauciarticular onset juvenile arthritis,,
394571000006116,Chronic arthritis of juvenile onset,,
463281000006113,Adult onset Still's disease,,
463301000006112,Adult-onset Still's disease,,
4809321000006119,Juvenile onset Still's disease,,
502690012,Pauciarticular onset juvenile chronic arthritis,,
5139361000006116,Juvenile chronic arthritis,,
5139391000006112,Early onset pauciarticular chronic arthritis,,
5139511000006113,Juvenile spondyloarthropathy,,
5139531000006119,Juvenile reactive arthritis triad,,
5139671000006117,Undifferentiated inflammatory oligoarthritis,,
5139701000006116,Undifferentiated inflammatory monoarthritis,,
5139951000006119,Idiopathic pyrophosphate arthritis,,
5141321000006112,Adult onset Still disease,,
559621000000119,Suspected inflammatory arthritis,,
59922014,Chronic arthritis,,
6220621000006114,Sarcoid arthritis,,
6608781000006113,Caplan's syndrome,,
6798411000006117,Juvenile idiopathic arthritis (disorder),,
6802551000006118,Still's disease,,
6802591000006112,Juvenile seropositive polyarthritis (disorder),,
6802671000006110,"Juvenile idiopathic arthritis, oligoarthritis",,
6802711000006114,"Juvenile idiopathic arthritis, undifferentiated arthritis",,
6899871000006118,Undifferentiated inflammatory polyarthritis,,
7858451000006110,Peripheral spondyloarthritis,,
7988841000006110,Arthritis co-occurrent and due to Crohn's disease,,
889841000006113,Systemic onset juvenile chronic arthritis (disorder),,
