med_code_id,term,snomed_ct_concept_id,observations
104872017,Extrinsic sthm without sttus sthmticus,,
1118291000000110,sthm control test score,,
1139011000000112,sthm Control Questionnire score,,
1139131000000117,Under cre of sthm specilist nurse,,
1176461000000114,Ptient hs  written sthm personl ction pln,,
1176501000000114,Helth eduction - sthm self mngement,,
1176541000000112,Helth eduction - structured sthm discussion,,
11922851000006115,cute sthm,,
11999511000006117,CQ (sthm Control Questionnire) score,,
11999521000006113,ssessment using sthm Control Questionnire,,
1208954011,sthm cuses dytime symptoms 1 to 2 times per month,,
1208955012,sthm cuses dytime symptoms 1 to 2 times per week,,
1208956013,sthm cuses dytime symptoms most dys,,
1208957016,sthm cuses night symptoms 1 to 2 times per month,,
1208958014,sthm limits wlking on the flt,,
1208959018,sthm limits wlking up hills or stirs,,
1208960011,sthm never cuses dytime symptoms,,
1208962015,Number of sthm excerbtions in pst yer,,
1208969012,Mild sthm,,
1208970013,Moderte sthm,,
1208971012,Occsionl sthm,,
1208972017,Severe sthm,,
1208976019,sthm tretment complince unstisfctory,,
1208977011,sthm tretment complince stisfctory,,
1212342016,sthm dytime symptoms,,
12618341000006116,Severe sthm with fungl sensitistion,,
13619961000006119,Excerbtion of llergic sthm due to infection,,
13620311000006117,sthm never cuses night symptoms,,
137491000000115,Excepted from sthm qulity indictors - informed dissent,,
13775501000006113,llergic sthm without sttus sthmticus,,
139051000000111,Exception reporting - sthm qulity indictors,,
13930321000006112,Thunderstorm sthm,,
13997031000006117,Intermittent llergic sthm,,
145961000006117,cute severe excerbtion of sthm,,
1483199016,llergic sthm,,
1484905010,Chnge in sthm mngement pln,,
1484910014,Step up chnge in sthm mngement pln,,
1484911013,Step down chnge in sthm mngement pln,,
1484953014,bsent from work or school due to sthm,,
1484970018,sthm monitoring due,,
1488421017,sthm nnul review,,
1488422012,sthm follow-up,,
1488436019,sthm mediction review,,
1488722011,sthm night-time symptoms,,
149741000006116,Sequoiosis (red-cedr sthm),,
151338014,Life thretening cute excerbtion of llergic sthm,,
157901000000115,Excepted from sthm qulity indictors - ptient unsuitble,,
16091000000110,sthm monitoring dmin.NOS,,
1722421000000110,sthm cuses night time symptoms 1 to 2 times per week,,
1722501000000119,sthm cuses symptoms most nights,,
1722581000000112,sthm limits ctivities 1 to 2 times per month,,
1722651000000119,sthm limits ctivities 1 to 2 times per week,,
1722731000000116,sthm limits ctivities most dys,,
1739131000000111,sthm trigger - irborne dust,,
1739141000000119,sthm trigger - exercise,,
1739151000000116,sthm trigger - pollen,,
1739161000000118,sthm trigger - tobcco smoke,,
1739171000000113,sthm trigger - wrm ir,,
1739871000006114,Helth eduction - structured ptient focused sthm discussion,,
1753401000006117,sthm review using Royl College of Physicins three questions,,
1766051000006114,Royl College of Physicins sthm ssessment three questions score,,
1768981000000110,sthm never cuses night symptoms,,
1769451000000116,Seen in school sthm clinic,,
1780194017,sthm trigger,,
1780336013,Helth eduction - sthm,,
1780378019,sthm monitoring by nurse,,
1780379010,sthm monitoring by doctor,,
1780388018,sthm confirmed,,
1811901000006116,Number of dys bsent from school due to sthm in pst 6 months,,
183191000006115,Recurrent wheezy bronchitis,,
1927091000006116,sthm monitoring invittion SMS (short messge service) text messge,,
1947591000006113,sthm monitoring SMS (short messge service) text messge first invittion,,
1947601000006117,sthm monitoring SMS (short messge service) text messge second invittion,,
1947611000006119,sthm monitoring SMS (short messge service) text messge third invittion,,
1948051000006112,sthm-chronic obstructive pulmonry disese overlp syndrome,,
2115631000000117,sthm self-mngement pln review,,
2117771000000117,sthm self-mngement pln greed,,
2131281000000114,sthm trigger - perfume,,
21390015,Intrinsic sthm without sttus sthmticus,,
21611000000113,sthm monitoring dministrtion,,
216186011,Emergency sthm ptient visit since lst encounter,,
2163183015,Wheezy bronchitis,,
2240591000000119,Chronic sthm with fixed irflow obstruction,,
2297651000000118,sthm mngement pln declined,,
235661000000118,Does not hve sthm mngement pln,,
2423691000000114,Telehelth sthm monitoring,,
2460311000000112,t risk of severe sthm excerbtion,,
2460351000000111,Severe sthm excerbtion risk ssessment,,
2474332015,sthm clinicl mngement pln,,
251716013,H/O: sthm,,
2533402016,Referrl to sthm clinic,,
2535857010,Hyperrective irwy disese,,
26101000000112,sthm clinic dministrtion,,
264514012,Incresing exercise wheeze,,
264536010,irwys obstruction reversible,,
264540018,sthm disturbing sleep,,
264541019,sthm cusing night wking,,
264542014,sthm disturbs sleep weekly,,
264543016,sthm disturbs sleep frequently,,
264544010,sthm not disturbing sleep,,
264545011,sthm never disturbs sleep,,
264546012,sthm limiting ctivities,,
264547015,sthm not limiting ctivities,,
264550017,sthm mngement,,
264551018,sthm severity,,
264565016,Emergency sthm dmission since lst encounter,,
264566015,sthm restricts exercise,,
264567012,sthm sometimes restricts exercise,,
264568019,sthm severely restricts exercise,,
264569010,sthm never restricts exercise,,
2685251000006117,Millers' sthm,,
282488010,sthm control step 0,,
282489019,sthm control step 1,,
282490011,sthm control step 2,,
282491010,sthm control step 3,,
282492015,sthm control step 4,,
282493013,sthm control step 5,,
283029017,sthm leflet given,,
283550015,Emergency hospitl dmission for sthm,,
285239019,Seen in sthm clinic,,
285727014,ttends sthm monitoring,,
285728016,sthm monitoring refused,,
285729012,sthm monitor offer defult,,
285891014,Ptient in sthm study,,
300371000000111,sthm outrech clinic,,
3005811000006119,Exercise induced sthm,,
301450011,Chronic sthmtic bronchitis,,
301451010,Chronic wheezy bronchitis,,
301480018,Bronchil sthm,,
301485011,sthm,,
301499010,Extrinsic sthm,,
301508013,Intrinsic sthm NOS,,
301509017,Mixed sthm,,
301511014,sthm unspecified,,
3047731000006119,Bkers' sthm,,
305611000000115,sthm trigger: nimls,,
3111641000006111,BP - llergic bronchopulmonry spergillosis,,
338238011,Brittle sthm,,
3435971000006119,Industril sthm,,
350147016,Childhood sthm,,
350148014,Lte onset sthm,,
350149018,Lte-onset sthm,,
350151019,cute excerbtion of llergic sthm,,
350152014,llergic sthm NEC,,
350153016,Hy fever with sthm,,
350154010,Pollen sthm,,
350156012,cute excerbtion of intrinsic sthm,,
3505218014,Use of sthm symptom diry,,
3505219018,sthm monitoring using sthm symptom diry,,
3511374015,Moderte cute excerbtion of sthm,,
3514315010,sthm in pregnncy,,
3514925011,cute severe excerbtion of sthm co-occurrent nd due to llergic sthm,,
3637387011,Excerbtion of llergic sthm,,
396114013,Intrinsic sthm,,
396118011,Life thretening cute excerbtion of sthm,,
396119015,sthm ttck,,
396120014,sthm NOS,,
4020511000006119,Drug-induced sthm,,
405054019,sthm monitored,,
405055018,sthm monitoring check done,,
409865018,sthm ttck NOS,,
411877015,sthm monitoring,,
419211018,cute excerbtion of sthm,,
4540771000006118,History of sthm,,
456163018,sthm - currently ctive,,
456164012,sthm - currently dormnt,,
4781521000006110,irwy hyperrectivity,,
4781531000006113,sthmtic,,
4781551000006118,Bronchil hyperrectivity,,
4781561000006116,BHR - Bronchil hyperrectivity,,
4781571000006111,Bronchil hyperresponsiveness,,
4781581000006114,Bronchil hypersensitivity,,
496311000006117,sthm monitoring cll first letter,,
496321000006113,sthm monitoring cll second letter,,
496331000006111,sthm monitoring cll third letter,,
496351000006116,sthm monitoring cll telephone invite,,
496361000006119,sthm monitoring cll verbl invite,,
5054341000006110,Lte-onset sthm,,
5054431000006112,sthmtic pulmonry eosinophili,,
536221000000110,Royl College of Physicins sthm ssessment,,
536231000000112,RCP (Royl College of Physicins) three questions,,
5492441000006114,Non-llergic sthm,,
5649191000006110,Excerbtion of sthm,,
5904331000006116,sthm control steps,,
5979451000006113,sthm monitoring sttus,,
63349014,llergic bronchopulmonry spergillosis,,
636231000000119,sthm trigger - cold ir,,
636251000000114,sthm trigger - dmp,,
636271000000117,sthm trigger - emotion,,
636291000000118,sthm trigger - respirtory infection,,
636311000000117,sthm trigger - sesonl,,
6512381000006116,topic sthm,,
6514741000006118,sthm finding,,
6550131000006111,Nocturnl sthm,,
655601000006113,Exercise-induced sthm,,
655611000006111,Exercise induced sthm,,
660351000006118,llergic topic sthm,,
6648991000006117,sthm eduction,,
6720721000006111,sthmtic bronchitis,,
6724151000006111,sthm cre,,
6782071000006115,Cough vrint sthm,,
69311016,Detergent sthm,,
7015991000006110,Non-IgE medited llergic sthm,,
7030311000006117,IgE-medited llergic sthm,,
7030321000006113,IgE medited sthm,,
7052221000006118,Excerbtion of intermittent sthm,,
7062421000006112,Severe persistent sthm,,
7067211000006115,Mild persistent sthm,,
7071891000006112,Moderte persistent sthm,,
7076331000006112,Intermittent sthm,,
7077481000006119,Mild intermittent sthm,,
7100601000006111,History of spirin-sensitive sthm with nsl polyp,,
7258581000006114,cute excerbtion of chronic sthmtic bronchitis,,
7307941000006113,Sesonl sthm,,
7348611000006112,Royl College of Physicins 3 questions score,,
7617611000006112,Excerbtion of mild persistent sthm,,
7617621000006116,Excerbtion of moderte persistent sthm,,
7618791000006110,Uncomplicted mild persistent sthm,,
7626521000006110,cute severe excerbtion of severe persistent sthm,,
7628301000006111,cute severe excerbtion of llergic sthm,,
7628321000006118,cute severe excerbtion of immunoglobin E-medited llergic sthm,,
7628331000006115,cute severe excerbtion of intrinsic sthm,,
7688501000006112,Recent sthm mngement,,
7748211000006113,sthm ction cre plnning,,
7961271000006111,cute severe refrctory excerbtion of sthm,,
7961281000006114,cute severe sthm,,
7965491000006114,sthm with irreversible irwy obstruction,,
7966291000006118,Intermittent sthm well controlled,,
7970131000006117,Intermittent sthm uncontrolled,,
7970171000006119,cute excerbtion of chronic obstructive irwys disese with sthm,,
797211000006117,Further sthm - drug prevention,,
8031201000006110,cute excerbtion of sthm co-occurrent with llergic rhinitis,,
8038971000006116,Intermittent sthm co-occurrent with llergic rhinitis,,
8042571000006111,cute excerbtion of moderte persistent sthm,,
8042581000006114,cute excerbtion of mild persistent sthm,,
8060791000006112,sthm trigger - respirtory infection,,
8060811000006111,sthm trigger - sesonl,,
8061011000006113,sthm trigger - cold ir,,
8061031000006119,sthm trigger - dmp,,
8061051000006114,sthm trigger - emotion,,
8095951000006111,RCP (Royl College of Physicins) sthm ssessment,,
8109001000006118,sthm trigger - irborne dust,,
8109021000006111,sthm trigger - exercise,,
8109041000006116,sthm trigger - pollen,,
8109071000006112,sthm trigger - tobcco smoke,,
8109091000006113,sthm trigger - wrm ir,,
817361000006114,Hy fever with sthm,,
8263631000006115,sthm trigger - wind,,
8555681000006115,Steroid dependent sthm,,
885291000006115,Extrinsic sthm - topy,,
929091000006111,spirin-induced sthm,,
9315071000006117,Severe controlled persistent sthm,,
9315091000006116,Severe persistent llergic sthm,,
9315171000006116,Severe persistent sthm uncontrolled co-occurrent with llergic rhinitis,,
9315181000006118,Severe uncontrolled persistent sthm,,
9315201000006117,Mild persistent llergic sthm,,
9315251000006118,Mild persistent llergic sthm controlled,,
9315261000006116,Mild persistent sthm controlled,,
9315301000006113,Mild persistent sthm uncontrolled,,
9315321000006115,Mild persistent sthm uncontrolled co-occurrent with llergic rhinitis,,
9315341000006110,Moderte persistent sthm controlled,,
