med_code_id,term,snomed_ct_concept_id,observations
12619501000006118,Blood pressure mesurement using oscillometric monitoring device with opportunistic tril fibrilltion detection,,
12734511000006115,Evlution of F (tril fibrilltion) burden,,
14161691000006115,Proxysml tril fibrilltion with rpid ventriculr response,,
1587611000006119,Percutneous trnsluminl bltion of tril wll for tril flutter,,
1587631000006113,Perc trnslum blt conduct sys hert for tril flutter NEC,,
1755871000000117,Referrl to tril fibrilltion clinic,,
1823951000006111,tril fibrilltion confirmed,,
1855501000006118,tril fibrilltion monitoring in primry cre,,
1856431000006118,tril fibrilltion follow-up,,
1932021000006117,3D study - problems with tril fibrilltion mngement,,
1978701000006112,tril fibrilltion screen using BP monitor with F detector,,
216183015,tril fibrilltion monitoring,,
2197581000000114,tril fibrilltion cre pthwy,,
256478018,ECG: tril fibrilltion,,
256479014,ECG: tril flutter,,
2587671000000117,t risk of tril fibrilltion,,
2587711000000116,High risk of tril fibrilltion,,
2608211000000115,Typicl tril flutter,,
2608251000000116,typicl tril flutter,,
2675253013,Chronic tril fibrilltion,,
2675306013,Proxysml tril flutter,,
294171000000112,Exception reporting - tril fibrilltion qulity indictors,,
300106011,Proxysml tril tchycrdi,,
300130013,tril fibrilltion nd flutter,,
300132017,tril fibrilltion nd flutter NOS,,
3299911000006116,F - tril fibrilltion,,
3309351000006110,Multifocl tril tchycrdi,,
350465014,Non-rheumtic tril fibrilltion,,
406861000000119,tril fibrilltion nnul review,,
408081000000116,tril fibrilltion monitoring first letter,,
421235014,Proxysml tril fibrilltion,,
456154015,H/O: tril fibrilltion,,
4777351000006114,tril proxysml tchycrdi,,
5057041000006118,Ectopic tril tchycrdi,,
5057261000006110,Lone tril fibrilltion,,
5590611000006118,tril tchycrdi,,
5669591000006113,F - Proxysml tril fibrilltion,,
5669601000006117,PF - Proxysml tril fibrilltion,,
5669611000006119,Intermittent tril fibrilltion,,
5887651000006116,Controlled tril fibrilltion,,
6043781000006115,Rpid tril fibrilltion,,
636701000000115,Persistent tril fibrilltion,,
636721000000112,Permnent tril fibrilltion,,
7046981000006110,Chronic tril flutter,,
7064691000006118,Trnsient cerebrl ischemi due to tril fibrilltion,,
7375931000006117,Insertion of pcemker for control of tril fibrilltion,,
7610331000006110,Longstnding persistent tril fibrilltion,,
7610331000006110,Longstnding persistent tril fibrilltion,,
783761000006118,Implnttion of intrvenous pcemker for tril fibrilltion,,
8037691000006113,tril fibrilltion with rpid ventriculr response,,
8218591000006111,tril fibrilltion monitoring verbl invittion,,
82343012,tril fibrilltion,,
8439861000006115,tril fibrilltion detected,,
8440101000006118,tril fibrilltion not detected,,
865521000006116,Pcer controlled tril fibril,,
9988012,tril flutter,,
