med_code_id,term,snomed_ct_concept_id,observations
11851221000006114,BPH - benign prostatic hyperplasia,,
14197491000006114,Benign prostatic hyperplasia with outflow obstruction,,
152797018,Benign neoplasm of prostate,,
1936171000006116,H/O: benign prostatic hypertrophy,,
19794011,Prostatism,,
203421000006110,Prostatism,,
251774018,H/O: prostatism,,
256409010,Prostatic hypertrophy risk score,,
279031000006110,O/E - PR - Diffusely enlarged prostate,,
304382014,Hyperplasia of prostate,,
304383016,Prostatic hyperplasia of the lateral lobe,,
304384010,Prostatic hyperplasia of the medial lobe,,
304385011,Prostatic hyperplasia NOS,,
35586019,Benign adenoma of prostate,,
396738018,Benign prostatic hypertrophy,,
396742015,BPH - Benign prostatic hypertrophy,,
411266019,Prostate enlarged on PR,,
504861000006113,Benign fibroma of prostate,,
505011000006115,Benign myoma of prostate,,
5097061000006111,Benign prostatic hypertrophy with outflow obstruction,,
5274151000006119,Enlarged prostate,,
5352601000006114,Benign prostatic hypertrophy without outflow obstruction,,
5493301000006114,Benign enlargement of prostate,,
645331000006112,Benign prostatic hyperplasia,,
909491000006110,[RFC] Enlarged prostate,,
