med_code_id,term,snomed_ct_concept_id,observations
12059201000006117,"Bipolar disorder, most recent episode depression",,
12059211000006119,"Bipolar disorder, most recent episode manic",,
13911951000006118,Rapid cycling bipolar II disorder,,
1755911000006110,"[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",,
1785851000006110,Bipolar I disorder,,
1785861000006112,Bipolar II disorder,,
1785871000006117,[X]Bipolar II disorder,,
1975931000006113,"Bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome",,
1975941000006115,"Bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome",,
294847017,Manic-depressive - now manic,,
294848010,"Bipolar affective disorder, currently manic, unspecified",,
294849019,"Bipolar affective disorder, currently manic, mild",,
294850019,"Bipolar affective disorder, currently manic, moderate",,
294858014,"Bipolar affective disorder, currently manic, NOS",,
294860011,Manic-depressive - now depressed,,
294861010,"Bipolar affective disorder, currently depressed, unspecified",,
294862015,"Bipolar affective disorder, currently depressed, mild",,
294863013,"Bipolar affective disorder, currently depressed, moderate",,
294868016,"Bipolar affective disorder, currently depressed, NOS",,
294869012,Mixed bipolar affective disorder,,
294870013,"Mixed bipolar affective disorder, unspecified",,
294871012,"Mixed bipolar affective disorder, mild",,
294872017,"Mixed bipolar affective disorder, moderate",,
294874016,"Mixed bipolar affective disorder, severe, with psychosis",,
294876019,"Mixed bipolar affective disorder, in full remission",,
294877011,"Mixed bipolar affective disorder, NOS",,
294880012,Unspecified bipolar affective disorder,,
294881011,"Unspecified bipolar affective disorder, unspecified",,
294882016,Mild bipolar disorder,,
294883014,Moderate bipolar disorder,,
294887010,Bipolar disorder in full remission,,
294888017,"Unspecified bipolar affective disorder, NOS",,
294891017,Other and unspecified manic-depressive psychoses,,
294892012,Unspecified manic-depressive psychoses,,
294893019,Atypical manic disorder,,
294895014,Mixed bipolar I disorder,,
294896010,Other and unspecified manic-depressive psychoses NOS,,
296130018,Bipolar disorder in remission,,
296135011,"[X]Bipolar affective disorder, unspecified",,
3006671000006118,"Bipolar I disorder, most recent episode hypomanic",,
362781000006116,[X]Affective psychosis NOS,,
367051000006112,Severe depressed bipolar I disorder without psychotic features,,
367061000006114,Psychosis and severe depression co-occurrent and due to bipolar affective disorder,,
367071000006119,"Bipolar affective disorder, currently manic, severe, with psychosis",,
367081000006116,[X]Bipolar affect disorder cur epi manic wout psychotic symp,,
367091000006118,[X]Bipolar affect disorder cur epi mild or moderate depressn,,
367101000006112,Bipolar affective disorder,,
367111000006110,"Bipolar affective disorder, current episode hypomanic",,
367121000006119,"[X]Bipolar affective disorder, current episode mixed",,
367151000006111,"[X]Bipolar disorder, single manic episode",,
367161000006113,[X]Bipolar II disorder,,
3854401000006113,Bipolar 2 disorder,,
3886291000006119,"Bipolar disorder, in remission",,
396071000006119,[X]Manic-depressive reaction,,
396771000006117,"[X] Manic-depressive psychosis, depressed type without psychotic symptoms",,
396781000006119,"[X]Manic-depress psychosis,depressed type+psychotic symptoms",,
396791000006116,Manic-depressive illness,,
396801000006115,Manic-depressive psychosis,,
398541000006116,"Bipolar affective disorder , current episode mixed",,
401865016,[X]Other bipolar affective disorders,,
4767311000006117,"Bipolar affective disorder, current episode mixed",,
492761000000114,Bipolar affective disorder resolved,,
513691000006116,Severe manic bipolar I disorder without psychotic features,,
513701000006116,"Bipolar affect disord, currently manic,severe with psychosis",,
513711000006118,Depressed bipolar I disorder in partial remission,,
513721000006114,"Bipolar affect disord, now depressed, severe with psychosis",,
513731000006112,"Bipolar affect disord, now depressed, severe, no psychosis",,
513751000006117,"Bipolar affective disorder, current episode depression",,
513801000006112,"Bipolar affective disorder, current episode manic",,
513811000006110,"Bipolar affective disorder, currently manic, in full remission",,
513861000006113,"Bipolar affective disorder, currently depressed, in full remission",,
513871000006118,Bipolar disorder,,
5435901000006117,Bipolar,,
701051000006118,"Mixed bipolar affective disorder, partial/unspec remission",,
701071000006111,"Mixed bipolar affective disorder, severe",,
7849081000006116,Bipolar type I disorder currently in full remission,,
8041781000006111,Rapid cycling bipolar I disorder,,
82091000006116,Bipolar disorder in partial remission,,
82151000006114,Severe bipolar disorder without psychotic features,,
82171000006116,Severe bipolar disorder with psychotic features,,
8232591000006117,"Recurrent major depressive episodes, severe, with psychosis, psychosis in remission",,
8235161000006110,"Mixed bipolar affective disorder, in partial remission",,
882311000006110,Manic-depressive psychoses,,
