med_code_id,term,snomed_ct_concept_id,observations
100716012,Body mass index,,
253848011,Body mass index 30+ - obesity,,
253847018,Body mass index index 25-29 - overweight,,
253844013,Normal body mass index,,
453856012,Body mass index less than 20,,
253845014,Increased body mass index,,
2474325012,Body mass index 20-24 - normal,,
11923361000006119,Finding of body mass index,,
2160062010,Body mass index 40+ - severely obese,,
3484801000006114,BMI - Body mass index,,
253846010,Decreased body mass index,,
1900331000006113,Obese class III (body mass index equal to or greater than 40.0),,
923861000006112,Body mass index,,
4553741000006118,BMI 30+ - obesity,,
5998281000006119,BMI less than 20,,
