med_code_id,term,snomed_ct_concept_id,observations
128792019,Congenital bronchiectasis,,
1854831000006111,Cystic fibrosis manifested by bronchiectasis,,
21163015,Bronchiectasis (disorder),,
2806691000006111,Traction bronchiectasis,,
301524014,Recurrent bronchiectasis,,
301525010,Post-infective bronchiectasis,,
301526011,Bronchiectasis NOS,,
3327421000006113,Adult bronchiectasis,,
3858081000006116,Cylindrical bronchiectasis (disorder),,
38677017,Tuberculous bronchiectasis,,
5053671000006110,Acquired bronchiectasis (disorder),,
5053681000006113,Idiopathic bronchiectasis (disorder),,
5053691000006111,Obstructive bronchiectasis (disorder),,
7307141000006111,Acute exacerbation of bronchiectasis,,
755691000006114,"Bronchiectasis, chronic sinusitis AND dextrocardia syndrome",,
7715861000006113,Acute bronchitis co-occurrent with bronchiectasis,,
