med_code_id,term,snomed_ct_concept_id,observations
2692069010,Malignant neoplasm of brain,,
543111000006111,Cerebral tumour - malignant,,
727771000006111,Malignant neoplasm cerebrum (excluding lobes and ventricles),,
289337012,Malignant neoplasm of basal ganglia,,
289338019,Malignant neoplasm of cerebral cortex,,
289341011,Malignant neoplasm of globus pallidus,,
289343014,Malignant neoplasm of hypothalamus,,
289345019,Malignant neoplasm of thalamus,,
289346018,Malignant neoplasm of cerebrum NOS,,
482730011,Malignant neoplasm of frontal lobe,,
482731010,Malignant neoplasm of temporal lobe,,
289347010,Malignant neoplasm of hippocampus,,
289349013,Malignant neoplasm of temporal lobe NOS,,
482732015,Malignant neoplasm of parietal lobe,,
482733013,Malignant neoplasm of occipital lobe,,
482734019,Malignant neoplasm of cerebral ventricles,,
289352017,Malignant neoplasm of choroid plexus,,
155175018,Malignant neoplasm of cerebellum,,
727511000006114,Malignant neoplasm of brain stem,,
289355015,Malignant neoplasm of cerebral peduncle,,
289356019,Malignant neoplasm of medulla oblongata,,
289357011,Malignant neoplasm of midbrain,,
289358018,Malignant neoplasm of pons,,
727521000006118,Malignant neoplasm of brain stem NOS,,
289360016,Malignant neoplasm of other parts of brain,,
289361017,Malignant neoplasm of corpus callosum,,
289364013,Malignant neoplasm of other part of brain NOS,,
289365014,Malignant neoplasm of brain NOS,,
729501000006119,Malig neop of other and unspecified parts of nervous system,,
289409016,Malignant neoplasm of craniopharyngeal duct,,
730041000006115,Malig neop pituitary gland or craniopharyngeal duct NOS,,
722961000006116,Malignant neoplasm of pineal gland,,
155168019,Malignant neoplasm of carotid body,,
289413011,Malignant neoplasm of aortic body and other paraganglia,,
155269017,Malignant neoplasm of glomus jugulare,,
144849016,Neuroblastoma,,
291825018,[M]Ependymoma NOS,,
308091000006116,"[M]Ependymoma, anaplastic type",,
1229453012,[M]Astrocytoma NOS,,
305701000006117,"[M]Astrocytoma, anaplastic type",,
308961000006113,[M]Gemistocytic astrocytoma,,
308461000006115,[M]Fibrillary astrocytoma,,
315291000006116,[M]Pilocytic astrocytoma,,
310731000006117,[M]Juvenile astrocytoma,,
403757015,[M]Glioblastoma NOS,,
309231000006115,[M]Glioblastoma multiforme,,
309091000006112,[M]Giant cell glioblastoma,,
291835012,[M]Oligodendroglioma NOS,,
314281000006115,"[M]Oligodendroglioma, anaplastic type",,
314261000006113,[M]Oligodendroblastoma,,
291836013,[M]Medulloblastoma NOS,,
307571000006110,[M]Desmoplastic medulloblastoma,,
1234296013,[M]Pleomorphic xanthoastrocytoma,,
1216595017,[M]Primitive neuroectodermal tumour,,
313831000006118,[M]Neuroastrocytoma,,
309601000006114,[M]Haemangioblastoma,,
305351000006119,[M]Angioblastoma,,
317131000006117,[M]Subependymal astrocytoma NOS,,
317141000006110,[M]Subependymal astrocytoma NOS,,
1230234015,[M]Subependymoma,,
1221241014,[M]Subependymal giant cell astrocytoma,,
314881000006119,[M]Papillary ependymoma,,
313601000006113,[M]Myxopapillary ependymoma,,
315331000006111,[M]Pineoblastoma,,
2550105015,[M]Gliomas,,
309281000006119,Malignant glioma,,
309261000006112,[M]Glioma NOS,,
309321000006113,Gliosarcoma,,
309301000006115,[M]Gliomatosis cerebri,,
312871000006112,[M]Mixed glioma,,
312911000006110,Mixed oligoastrocytoma,,
305681000006115,Astrocytoma,,
305671000006118,[M]Astroblastoma,,
312201000006117,[M]Medullomyoblastoma,,
291837016,Cerebellar sarcoma,,
2552865010,[M]Glioma NOS,,
308861000006117,[M]Ganglioneuroblastoma,,
291852011,Medulloepithelioma,,
317441000006117,[M]Teratoid medulloepithelioma,,
291958014,[M]Histiocytic medullary reticulosis,,
396161000006113,Overlapping malignant neoplasm of brain and other parts of the central nervous system,,
