med_code_id,term,snomed_ct_concept_id,observations
1786811017,Malignant neoplasm of urinary bladder,,
289262014,Malignant neoplasm of trigone of urinary bladder,,
289267015,Malignant neoplasm of dome of urinary bladder,,
289270016,Malignant neoplasm of lateral wall of urinary bladder,,
289271017,Malignant neoplasm of anterior wall of urinary bladder,,
289272012,Malignant neoplasm of posterior wall of urinary bladder,,
289275014,Malignant neoplasm of bladder neck,,
289276010,Malignant neoplasm of ureteric orifice,,
720951000006119,Malignant neoplasm of urachus,,
289279015,Malignant neoplasm of other site of urinary bladder,,
289281018,Malignant neoplasm of urinary bladder NOS,,
767711000006113,Bladder instillation of anticarcinogenic agent,,
459399016,Local recurrence of malignant tumour of urinary bladder,,
289280017,"Malignant neoplasm, overlapping lesion of bladder",,
289297011,Malignant neoplasm of other urinary organs,,
289298018,Malignant neoplasm of overlapping lesion of urinary organs,,
315031000006113,Papillary transitional cell carcinoma,,
1755801000006118,[M]Grade 1 (Stage pTa) papillary urothelial/transitional cell carcinoma,,
1755811000006115,[M]Grade 2 (Stage pTa) papillary urothelial/transitional cell carcinoma,,
1755821000006111,[M]Grade 3 (Stage pTa) papillary urothelial/transitional cell carcinoma,,
292147019,[X]Malignant neoplasm of urinary tract,,
359271000006110,Secondary malignant neoplasm of urinary system,,
