med_code_id,term,snomed_ct_concept_id,observations
380093012,Sarcoma of bone and connective tissue,,
403691010,Malignant neoplasm of bone and articular cartilage,,
288869015,Malignant neoplasm of bones of skull and face,,
155228014,Malignant neoplasm of ethmoid bone,,
155259011,Malignant neoplasm of frontal bone,,
288872010,Malignant neoplasm of malar bone,,
155402013,Malignant neoplasm of nasal bone,,
155421017,Malignant neoplasm of occipital bone,,
288875012,Malignant neoplasm of orbital bone,,
155444019,Malignant neoplasm of parietal bone,,
155582012,Malignant neoplasm of sphenoid bone,,
155607014,Malignant neoplasm of temporal bone,,
155681013,Malignant neoplasm of zygomatic bone,,
155370019,Malignant neoplasm of maxilla,,
2475564017,Malignant neoplasm of turbinate,,
155677013,Malignant neoplasm of vomer,,
288883018,Malignant neoplasm of bones of skull and face NOS,,
155368011,Malignant neoplasm of mandible,,
720341000006115,Malignant neoplasm of vertebral column,,
288885013,Malignant neoplasm of cervical vertebra,,
288886014,Malignant neoplasm of thoracic vertebra,,
288887017,Malignant neoplasm of lumbar vertebra,,
288888010,Malignant neoplasm of vertebral column NOS,,
288889019,"Malignant neoplasm of ribs, sternum and clavicle",,
155495017,Malignant neoplasm of rib,,
155592016,Malignant neoplasm of sternum,,
155191015,Malignant neoplasm of clavicle,,
288894019,Malignant neoplasm of costal cartilage,,
726631000006118,Malignant neoplasm of costo-vertebral joint,,
288896017,Malignant neoplasm of xiphoid process,,
288897014,"Malignant neoplasm of rib, sternum and clavicle NOS",,
288898016,Malignant neoplasm of scapula and long bones of upper arm,,
155503017,Malignant neoplasm of scapula,,
155068017,Malignant neoplasm of acromion,,
288901015,Malignant neoplasm of humerus,,
155483017,Malignant neoplasm of radius,,
155641018,Malignant neoplasm of ulna,,
729541000006117,Malig neop of scapula and long bones of upper arm NOS,,
403697014,Malignant neoplasm of hand bones,,
380145016,Malignant neoplasm of carpal bones,,
380146015,Malignant neoplasm of metacarpal bones,,
288909018,Malignant neoplasm of carpal bone - scaphoid,,
288910011,Malignant neoplasm of carpal bone - lunate,,
288917014,Malignant neoplasm of first metacarpal bone,,
288919012,Malignant neoplasm of third metacarpal bone,,
288921019,Malignant neoplasm of fifth metacarpal bone,,
288922014,Malignant neoplasm of phalanges of hand,,
288923016,Malignant neoplasm of hand bones NOS,,
288924010,"Malignant neoplasm of pelvic bones, sacrum and coccyx",,
155294016,Malignant neoplasm of ilium,,
155308013,Malignant neoplasm of ischium,,
155479017,Malignant neoplasm of pubis,,
288928013,Malignant neoplasm of sacral vertebra,,
288929017,Malignant neoplasm of coccygeal vertebra,,
2549374014,Malignant sacral teratoma,,
288930010,"Malignant neoplasm of pelvis, sacrum or coccyx NOS",,
288931014,Malignant neoplasm of long bones of leg,,
155246015,Malignant neoplasm of femur,,
155247012,Malignant neoplasm of fibula,,
155624015,Malignant neoplasm of tibia,,
288935017,Malignant neoplasm of long bones of leg NOS,,
403698016,Malignant neoplasm of short bones of leg,,
155604019,Malignant neoplasm of talus,,
288941012,Malignant neoplasm of calcaneum,,
288942017,Malignant neoplasm of medial cuneiform,,
288947011,Malignant neoplasm of first metatarsal bone,,
288950014,Malignant neoplasm of fourth metatarsal bone,,
288952018,Malignant neoplasm of phalanges of foot,,
288953011,Malignant neoplasm of short bones of leg NOS,,
720031000006110,Malignant neoplasm/overlap lesion/bone+articulr cartilage,,
720021000006112,"Malignant neoplasm/bones+articular cartilage/limb,unspfd",,
288959010,Malignant neoplasm of bone and articular cartilage NOS,,
2164653019,Osteosarcoma,,
1211679013,Reticulosarcoma,,
289581017,Reticulosarcoma of unspecified site,,
310801000006117,[M]Juxtacortical osteogenic sarcoma,,
315221000006118,[M]Periosteal osteogenic sarcoma,,
1222660012,[M]Osteosarcoma NOS,,
314351000006117,[M]Osteoblastic sarcoma,,
314401000006113,[M]Osteochondrosarcoma,,
314451000006112,[M]Osteogenic sarcoma NOS,,
306661000006117,[M]Chondroblastic osteosarcoma,,
308491000006111,[M]Fibroblastic osteosarcoma,,
317411000006116,[M]Telangiectatic osteosarcoma,,
314501000006114,[M]Osteosarcoma in Paget's disease of bone,,
291778013,[M] Small cell osteosarcoma,,
291779017,[M]Osteoma or osteosarcoma NOS,,
309131000006114,"[M]Giant cell tumour of bone, malignant",,
309071000006111,[M]Giant cell bone sarcoma,,
314421000006115,"[M]Osteoclastoma, malignant",,
291795017,[M]Miscellaneous bone tumours,,
308351000006112,[M]Ewing's sarcoma,,
308001000006111,[M]Endothelial bone sarcoma,,
291801014,[M]Miscellaneous bone tumour NOS,,
310571000006113,[M]Intraosseous carcinoma,,
304481000006119,"[M]Adamantinoma, malignant",,
1231451015,[M]Osteoblastoma,,
291787016,[M]Giant cell tumours,,
291790010,[M]Giant cell tumour of bone NOS,,
291794018,[M]Giant cell tumour NOS,,
155449012,Malignant neoplasm of patella,,
288948018,Malignant neoplasm of second metatarsal bone,,
722761000006119,Malignant neoplasm of pelvis,,
289445018,Malignant neoplasm of pelvis NOS,,
2870704010,Osteomyelofibrosis,,
309061000006116,[M]Giant cell and spindle cell carcinoma,,
309081000006114,[M]Giant cell carcinoma,,
315161000006117,[M]Parosteal osteosarcoma,,
304471000006117,[M]Adamantinoma of long bones,,
457307018,[M]Tibial adamantinoma,,
292111015,Malignant neoplasm of skeletal system,,
396481000006110,Malignant neoplasm of bone and articular cartilage of limb,,
396551000006118,Overlapping malignant neoplasm of bone and articular cartilage,,
396471000006112,"[X]Malignant neoplasm/bone+articular cartilage, unspecified",,
