med_code_id,term,snomed_ct_concept_id,observations
1210642019,Malignant neoplasm of female breast,,
531851000006119,Ca female breast,,
289137018,Malignant neoplasm of nipple and areola of female breast,,
155417012,Malignant neoplasm of nipple of female breast,,
155089014,Malignant neoplasm of areola of female breast,,
289140018,Malignant neoplasm of nipple or areola of female breast NOS,,
289141019,Malignant neoplasm of central part of female breast,,
289142014,Malignant neoplasm of upper-inner quadrant of female breast,,
289143016,Malignant neoplasm of lower-inner quadrant of female breast,,
289144010,Malignant neoplasm of upper-outer quadrant of female breast,,
289145011,Malignant neoplasm of lower-outer quadrant of female breast,,
289146012,Malignant neoplasm of axillary tail of female breast,,
289147015,"Malignant neoplasm, overlapping lesion of breast",,
289148013,Malignant neoplasm of other site of female breast,,
289149017,Malignant neoplasm of ectopic site of female breast,,
289150017,Malignant neoplasm of other site of female breast NOS,,
289151018,Malignant neoplasm of female breast NOS,,
155364013,Malignant neoplasm of male breast,,
289153015,Malignant neoplasm of nipple and areola of male breast,,
155418019,Malignant neoplasm of nipple of male breast,,
155090017,Malignant neoplasm of areola of male breast,,
289157019,Malignant neoplasm of other site of male breast,,
289158012,Malignant neoplasm of ectopic site of male breast,,
289159016,Malignant neoplasm of male breast NOS,,
292137017,[X]Malignant neoplasm of breast,,
317821000006114,Tubular adenocarcinoma,,
310311000006110,Infiltrating duct carcinoma,,
307631000006111,Duct carcinoma,,
1232564019,[M]Intraductal papillary adenocarcinoma with invasion,,
1228259019,[M]Infiltrating duct and lobular carcinoma,,
291536017,[M]Comedocarcinoma NOS,,
310741000006110,Juvenile carcinoma of the breast,,
316311000006112,[M]Secretory breast carcinoma,,
291540014,Lobular carcinoma,,
310321000006119,Infiltrating ductular carcinoma,,
310341000006114,[M]Inflammatory carcinoma,,
314711000006117,Mammary Paget's disease,,
314691000006115,Paget's disease of breast,,
314671000006116,Paget's disease and infiltrating duct carcinoma of breast,,
1231363012,[M]Paget's disease and intraductal carcinoma of breast,,
314701000006115,"[M]Paget's disease, extramammary, excluding Paget's disease of bone",,
310411000006117,[M]Intracystic carcinoma NOS,,
304271000006116,Acinar cell carcinoma,,
307441000006115,Malignant cystosarcoma phyllodes,,
