med_code_id,term,snomed_ct_concept_id,observations
728461000006112,Malig neopl peripheral nerves and autonomic nervous system,,
720001000006119,"Malignant neoplasm, overlapping lesion of peripheral nerves and autonomic nervous system",,
730491000006117,"Mal neoplasm/periph nerves+autonomic nervous system,unspc",,
728471000006117,"Malig neopl, overlap lesion brain & other part of CNS",,
289396017,Malignant neoplasm of other specified part of nervous system,,
289397014,Malignant neoplasm of nervous system,,
316211000006115,"[M]Schwannoma, malignant",,
396601000006116,Malignant neoplasm of peripheral nerves of trunk,,
396111000006110,Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system,,
292148012,Malignant neoplasm of urinary organ,,
396251000006115,Malignant neoplasm of central nervous system,,
396521000006110,Malignant tumour of cranial nerve,,
396491000006113,Malignant neoplasm of central nervous system,,
359281000006113,Secondary malignant neoplasm of nervous system,,
