med_code_id,term,snomed_ct_concept_id,observations
726331000006111,Malignant neoplasm of colon,,
725191000006116,Malignant neoplasm of hepatic flexure of colon,,
721421000006112,Malignant neoplasm of transverse colon,,
725951000006112,Malignant neoplasm of descending colon,,
721991000006115,Malignant neoplasm of sigmoid colon,,
1216464010,Malignant neoplasm of caecum,,
380129018,Carcinoma of caecum,,
727281000006117,Malignant neoplasm of appendix,,
727321000006111,Malignant neoplasm of ascending colon,,
721821000006114,Malignant neoplasm of splenic flexure of colon,,
288670017,"Malignant neoplasm, overlapping lesion of colon",,
288671018,Malignant neoplasm of other specified sites of colon,,
403682011,Malignant neoplasm of colon NOS,,
573611000006118,Colonic cancer,,
722441000006110,Malignant neoplasm of rectosigmoid junction,,
155076015,Malignant neoplasm of anal canal,,
841331000006115,Cancer of bowel,,
459527013,Hereditary nonpolyposis colon cancer,,
291436015,Adenocarcinoma in villous adenoma,,
318101000006112,[M]Villous adenocarcinoma,,
