med_code_id,term,snomed_ct_concept_id,observations
825771000006119,Kaposi's sarcoma associated with AIDS,,
729331000006116,"Malignant neoplasm of bone, connective tissue, skin and breast",,
380094018,"Carcinoma of bone, connective tissue, skin and breast",,
720571000006116,"Malignant neoplasm, overlap lesion connective & soft tissue",,
173944012,Kaposi's sarcoma of skin,,
729351000006111,"Malig neop of bone, connective tissue, skin and breast OS",,
729341000006114,"Malig neop of bone, connective tissue, skin and breast NOS",,
755631000006110,Kaposi's sarcoma of multiple organs,,
755671000006113,"Kaposi's sarcoma, unspecified",,
173950019,Kaposi's sarcoma of lymph nodes,,
309471000006118,[M]Granular cell carcinoma,,
304651000006112,Adenocarcinoma with squamous metaplasia,,
304491000006116,[M]Adenoacanthoma,,
304631000006117,[M]Adenocarcinoma with cartilaginous and osseous metaplasia,,
304641000006110,[M]Adenocarcinoma with spindle cell metaplasia,,
304621000006115,[M]Adenocarcinoma with apocrine metaplasia,,
317611000006119,Malignant thymoma,,
291622017,Sarcoma - category,,
291623010,Sarcomatosis,,
1231237017,[M]Fibrosarcoma NOS,,
308641000006117,Fibromyxosarcoma,,
310281000006113,Infantile fibrosarcoma,,
307251000006119,[M]Congenital fibrosarcoma,,
308671000006113,Malignant fibrous histiocytoma,,
308731000006118,Malignant fibroxanthoma,,
376870016,[M]Fibroxanthosarcoma,,
1232355013,[M] Pigmented dermatofibrosarcoma protuberans,,
1225879015,[M]Myxosarcoma,,
291638011,[M]Liposarcoma NOS,,
308551000006116,[M]Fibroliposarcoma,,
311191000006111,Liposarcoma - well differentiated,,
313541000006114,Myxoid liposarcoma,,
313561000006113,[M]Myxoliposarcoma,,
316121000006118,[M]Round cell liposarcoma,,
315531000006117,Pleomorphic liposarcoma,,
312951000006111,[M]Mixed type liposarcoma,,
1232905013,[M]Dedifferentiated liposarcoma,,
291653015,Leiomyosarcoma - category,,
308241000006115,[M]Epithelioid leiomyosarcoma,,
1221282014,[M]Myxoid leiomyosarcoma,,
305531000006115,[M]Angiomyosarcoma,,
313501000006112,[M]Myosarcoma,,
215896010,Rhabdomyosarcoma,,
315541000006110,[M]Pleomorphic rhabdomyosarcoma,,
312841000006116,[M]Mixed cell rhabdomyosarcoma,,
307821000006112,Embryonal rhabdomyosarcoma,,
316141000006113,[M]Sarcoma botryoides,,
305211000006112,Alveolar rhabdomyosarcoma,,
307891000006114,Endometrial stromal sarcoma,,
304901000006115,[M]Adenosarcoma,,
291676017,Carcinosarcoma,,
1227518012,[M]Adenosarcoma,,
1232439019,[M]Synovial sarcoma NOS,,
317361000006112,"[M]Synovial sarcoma, spindle cell type",,
317341000006113,"[M]Synovial sarcoma, biphasic type",,
291700017,[M]Clear cell sarcoma of tendons and aponeuroses,,
312601000006119,"Mesothelioma, malignant",,
1785811000006114,"Fibrous mesothelioma, malignant",,
308261000006116,Malignant epithelioid mesothelioma,,
312591000006110,Malignant biphasic mesothelioma,,
291711013,"[M]Mesothelioma, unspecified",,
1222303015,"[M]Teratoma, malignant, NOS",,
1870391000006111,Peripheral neuroectodermal tumour,,
291843019,[M]Neuroepitheliomatous neoplasms,,
403758013,[M]Neuroblastoma NOS,,
291853018,Neuroepithelioma,,
291861011,Neuroepitheliomatous neoplasm,,
313931000006111,[M]Neurofibrosarcoma,,
313801000006114,"[M]Neurilemmoma, malignant",,
312101000006110,[M]Mast cell sarcoma,,
292128017,"[X]Kaposi's sarcoma, unspecified",,
396091000006118,"[X]Mal neoplasm/connective+soft tissue of trunk,unspecified",,
396501000006117,"[X]Malignant neoplasm/connective + soft tissue,unspecified",,
292136014,Kaposi's sarcoma (clinical),,
716861000006117,Mast cell disease,,
203313019,Mastocytosis,,
