med_code_id,term,snomed_ct_concept_id,observations
103180017,Mesothelioma,,
705211000006111,Mesothelioma of pleura,,
288840012,Malignant neoplasm of pleura NOS,,
288960017,Malignant neoplasm of connective and other soft tissue,,
729361000006113,"Malig neop of connective and soft tissue head, face and neck",,
1228565015,Malignant neoplasm of soft tissue of head,,
1228566019,Malignant neoplasm of soft tissue of face,,
1228567011,Malignant neoplasm of soft tissue of neck,,
288962013,Malignant neoplasm of cartilage of ear,,
288963015,Malignant neoplasm of tarsus of eyelid,,
288964014,Malignant neoplasm soft tissues of cervical spine,,
730031000006113,"Malig neop connective and soft tissue head, face, neck NOS",,
729291000006111,Malig neop connective and soft tissue upper limb/shoulder,,
288967019,Malignant neoplasm of connective and soft tissue of shoulder,,
288968012,"Malignant neoplasm of connective and soft tissue, upper arm",,
288969016,Malignant neoplasm of connective and soft tissue of fore-arm,,
288970015,Malignant neoplasm of connective and soft tissue of hand,,
288971016,Malignant neoplasm of connective and soft tissue of finger,,
288972011,Malignant neoplasm of connective and soft tissue of thumb,,
729301000006112,Malig neop connective soft tissue upper limb/shoulder NOS,,
729401000006115,Malig neop of connective and soft tissue of hip and leg,,
288975013,Malignant neoplasm of connective and soft tissue of hip,,
729451000006116,Malig neop of connective and soft tissue thigh and upper leg,,
730251000006110,Malig neop connective and soft tissue of popliteal space,,
729421000006113,Malig neop of connective and soft tissue of lower leg,,
288979019,Malignant neoplasm of connective and soft tissue of foot,,
288980016,Malignant neoplasm of connective and soft tissue of toe,,
730241000006113,Malig neop connective and soft tissue hip and leg NOS,,
288985014,Malignant neoplasm of connective and soft tissue of thorax,,
288986010,Malignant neoplasm of connective and soft tissue of axilla,,
155209019,Malignant neoplasm of diaphragm,,
155272012,Malignant neoplasm of great vessels,,
728491000006116,Malig neoplasm of connective and soft tissues of thor spine,,
729441000006118,Malig neop of connective and soft tissue of thorax NOS,,
288991011,Malignant neoplasm of connective and soft tissue of abdomen,,
729381000006115,Malig neop of connective and soft tissue of abdominal wall,,
728481000006119,Malig neoplasm of connective and soft tissues of lumb spine,,
729371000006118,Malig neop of connective and soft tissue of abdomen NOS,,
288995019,Malignant neoplasm of connective and soft tissue of pelvis,,
288999013,Malignant neoplasm of connective and soft tissue of buttock,,
729411000006117,Malig neop of connective and soft tissue of inguinal region,,
289001014,Malignant neoplasm of connective and soft tissue of perineum,,
728451000006110,Malig neopl of connective and soft tissue - sacrum or coccyx,,
729431000006111,Malig neop of connective and soft tissue of pelvis NOS,,
729461000006119,Malig neop of connective and soft tissue trunk unspecified,,
729281000006113,Malig neop connective and soft tissue other specified site,,
289007013,"Malignant neoplasm of connective and soft tissue, site NOS",,
289008015,Kaposi's sarcoma of soft tissue,,
722911000006119,"Malignant neoplasm of peripheral nerves of head, face & neck",,
722901000006117,"Malignant neoplasm of peripheral nerve,upp limb,incl should",,
722871000006117,"Malignant neoplasm of peripheral nerve of low limb, incl hip",,
289388010,Malignant neoplasm of peripheral nerve of thorax,,
289389019,Malignant neoplasm of peripheral nerve of abdomen,,
289390011,Malignant neoplasm of peripheral nerve of pelvis,,
2659772015,Histiocytic sarcoma,,
305551000006110,[M]Angiosarcoma,,
1230800010,[M]Kaposi's sarcoma,,
309731000006110,"[M]Haemangiopericytoma, malignant",,
313521000006119,[M]Myxoid chondrosarcoma,,
291782010,[M]Chondrosarcoma NOS,,
308501000006115,[M]Fibrochondrosarcoma,,
310791000006118,[M]Juxtacortical chondrosarcoma,,
306681000006110,"[M]Chondroblastoma, malignant",,
312421000006114,[M]Mesenchymal chondrosarcoma,,
1228269013,[M]Myeloid sarcoma,,
1228267010,[M]Granulocytic sarcoma,,
403762019,[X]Mesothelioma of other sites,,
398291000006110,[X]Mesothelioma of lung,,
292126018,"[X]Mesothelioma, unspecified",,
291780019,[M]Chondromatous neoplasms,,
291783017,[M]Chondroblastoma NOS,,
306721000006115,[M]Chondromatous giant cell tumour,,
291786013,[M]Chondromatous neoplasm NOS,,
