med_code_id,term,snomed_ct_concept_id,observations
721291000006110,Malignant neoplasm of thyroid gland,,
155072018,Malignant neoplasm of adrenal gland,,
444773019,Phaeochromocytoma,,
1210553016,Malignant neoplasm of adrenal cortex,,
1210554010,Malignant neoplasm of adrenal medulla,,
289406011,Malignant neoplasm of adrenal gland NOS,,
723441000006116,Malignant neoplasm of parathyroid gland,,
720481000006117,Malignant neoplasm pituitary gland and craniopharyngeal duct,,
722981000006114,Malignant neoplasm of pituitary gland,,
729511000006116,Malig neop of other endocrine glands and related structures,,
289421017,Malignant neoplasm of other specified endocrine gland,,
729471000006114,Malig neop of endocrine gland or related structure NOS,,
309431000006116,Goblet cell carcinoid,,
1231544010,[M] Neuroendocrine carcinoma,,
307971000006119,Endometrioid carcinoma,,
307921000006115,"[M]Endometrioid adenofibroma, malignant",,
1227435013,[M]Vipoma,,
1887221000006112,Neuroendocrine neoplasm,,
292154013,Malignant neoplasm of endocrine gland,,
292156010,Malignant neoplasm of endocrine gland,,
