med_code_id,term,snomed_ct_concept_id,observations
1208876015,Malignant neoplasm of eye,,
729311000006110,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid",,
289308013,Malignant neoplasm of ciliary body,,
289311014,Malignant neoplasm of iris,,
289314018,Malignant neoplasm of crystalline lens,,
289316016,Malignant neoplasm of eyeball NOS,,
723541000006115,Malignant neoplasm of orbit,,
289317013,Malignant neoplasm of connective tissue of orbit,,
289319011,Malignant neoplasm of orbit NOS,,
289322013,Malignant neoplasm of lacrimal gland,,
726371000006114,Malignant neoplasm of conjunctiva,,
726561000006114,Malignant neoplasm of cornea,,
722521000006116,Malignant neoplasm of retina,,
727181000006113,Malignant neoplasm of choroid,,
724721000006116,Malignant neoplasm of lacrimal duct,,
289325010,Malignant neoplasm of lacrimal sac,,
289326011,Malignant neoplasm of nasolacrimal duct,,
1217367011,"Malignant neoplasm, overlapping lesion of eye and adnexa",,
409844012,Malignant melanoma of eye,,
289329016,Malignant neoplasm of other specified site of eye,,
289330014,Malignant neoplasm of eye NOS,,
