med_code_id,term,snomed_ct_concept_id,observations
380095017,"Carcinoma of lip, oral cavity and pharynx",,
724891000006113,Malignant neoplasm of lip,,
403771011,Carcinoma of lip,,
1228504019,"Malignant neoplasm of upper lip, vermilion border",,
720801000006112,"Malignant neoplasm of upper lip, external",,
288350019,"Malignant neoplasm of upper lip, lipstick area",,
288351015,"Malignant neoplasm of upper lip, vermilion border NOS",,
724421000006114,"Malignant neoplasm of lower lip, vermilion border",,
288354011,"Malignant neoplasm of lower lip, external",,
1228506017,"Malignant neoplasm of lower lip, lipstick area",,
288355012,"Malignant neoplasm of lower lip, vermilion border NOS",,
288363013,"Malignant neoplasm of upper lip, inner aspect",,
288372017,"Malignant neoplasm of upper lip, frenulum",,
288364019,"Malignant neoplasm of upper lip, mucosa",,
288362015,"Malignant neoplasm of upper lip, oral aspect",,
288377011,"Malignant neoplasm of upper lip, inner aspect NOS",,
406399011,"Malignant neoplasm of lower lip, inner aspect",,
288380012,"Malignant neoplasm of lower lip, buccal aspect",,
288382016,"Malignant neoplasm of lower lip, frenulum",,
724401000006116,"Malignant neoplasm of lower lip, mucosa",,
724411000006118,"Malignant neoplasm of lower lip, oral aspect",,
288387010,"Malignant neoplasm of lower lip, inner aspect NOS",,
288388017,"Malignant neoplasm of lip unspecified, inner aspect",,
724901000006112,"Malignant neoplasm of lip unspecified, buccal aspect",,
288391017,"Malignant neoplasm of lip unspecified, mucosa",,
288393019,"Malignant neoplasm of lip, oral aspect",,
726351000006116,Malignant neoplasm of commissure of lip,,
288404018,Malignant neoplasm of overlapping lesion of lip,,
453301018,"Malignant neoplasm of lip, unspecified",,
288408015,"Malignant neoplasm of lip, unspecified, external",,
288409011,"Malignant neoplasm of lip, unspecified, lipstick area",,
288410018,"Malignant neoplasm of lip, vermilion border NOS",,
721311000006114,Malignant neoplasm of tongue,,
727381000006110,Malignant neoplasm of base of tongue,,
1228509012,Malignant neoplasm of posterior third of tongue,,
288411019,Malignant neoplasm of base of tongue dorsal surface,,
288412014,Malignant neoplasm of fixed part of tongue NOS,,
155211011,Malignant neoplasm of dorsal surface of tongue,,
288417015,Malignant neoplasm of midline of tongue,,
288418013,Malignant neoplasm of dorsum of tongue NOS,,
288419017,"Malignant neoplasm of tongue, tip and lateral border",,
155669014,Malignant neoplasm of ventral surface of tongue,,
288423013,Malignant neoplasm of anterior 2/3 of tongue ventral surface,,
288427014,Malignant neoplasm of frenulum linguae,,
288429012,Malignant neoplasm of ventral tongue surface NOS,,
288430019,Malignant neoplasm of anterior 2/3 of tongue unspecified,,
288433017,"Malignant neoplasm of tongue, junctional zone",,
724881000006110,Malignant neoplasm of lingual tonsil,,
1219531013,Malignant overlapping lesion of tongue,,
288434011,Malignant neoplasm of other sites of tongue,,
288435012,Malignant neoplasm of tongue NOS,,
1228510019,Malignant neoplasm of major salivary glands,,
723501000006117,Malignant neoplasm of parotid gland,,
1228513017,Malignant neoplasm of submandibular gland,,
721881000006113,Malignant neoplasm of sublingual gland,,
288437016,Malignant neoplasm of other major salivary glands,,
288438014,Malignant neoplasm of major salivary gland NOS,,
725861000006118,Malignant neoplasm of gum,,
720761000006115,Malignant neoplasm of upper gum,,
724311000006111,Malignant neoplasm of lower gum,,
288439018,Malignant neoplasm of other sites of gum,,
288440016,Malignant neoplasm of gum NOS,,
725611000006117,Malignant neoplasm of floor of mouth,,
288443019,Malignant neoplasm of anterior portion of floor of mouth,,
288444013,Malignant neoplasm of lateral portion of floor of mouth,,
1219533011,"Malignant neoplasm, overlapping lesion of floor of mouth",,
288448011,Malignant neoplasm of other sites of floor of mouth,,
288449015,Malignant neoplasm of floor of mouth NOS,,
288450015,Malignant neoplasm of other and unspecified parts of mouth,,
727151000006117,Malignant neoplasm of cheek mucosa,,
727561000006112,Malignant neoplasm of buccal mucosa,,
288453018,Malignant neoplasm of vestibule of mouth,,
288454012,Malignant neoplasm of upper buccal sulcus,,
288459019,Malignant neoplasm of lower buccal sulcus,,
725101000006111,Malignant neoplasm of hard palate,,
721621000006110,Malignant neoplasm of soft palate,,
721041000006111,Malignant neoplasm of uvula,,
288469013,Malignant neoplasm of palate unspecified,,
288470014,Malignant neoplasm of junction of hard and soft palate,,
1228523014,Malignant neoplasm of roof of mouth,,
288471013,Malignant neoplasm of palate NOS,,
722541000006111,Malignant neoplasm of retromolar area,,
288473011,Malignant neoplasm of other specified mouth parts,,
288474017,Malignant neoplasm of mouth NOS,,
173946014,Kaposi's sarcoma of palate,,
723571000006111,Malignant neoplasm of oropharynx,,
721351000006110,Malignant neoplasm of tonsil,,
1228530015,Malignant neoplasm of faucial tonsil,,
1228529013,Malignant neoplasm of palatine tonsil,,
723321000006117,Malignant neoplasm of overlapping lesion of tonsil,,
288478019,Malignant neoplasm tonsil NOS,,
721361000006112,Malignant neoplasm of tonsillar fossa,,
288486019,Malignant neoplasm of tonsillar pillar,,
288485015,Malignant neoplasm of faucial pillar,,
725811000006116,Malignant neoplasm of glossopalatine fold,,
2475984012,Malignant neoplasm of palatoglossal arch,,
723391000006115,Malignant neoplasm of palatopharyngeal arch,,
288505015,Malignant neoplasm of tonsillar fossa NOS,,
721481000006111,Malignant neoplasm of vallecula,,
288506019,Malignant neoplasm of anterior epiglottis,,
288507011,"Malignant neoplasm of epiglottis, free border",,
288508018,Malignant neoplasm of glossoepiglottic fold,,
288509014,Malignant neoplasm of anterior epiglottis NOS,,
288510016,Malignant neoplasm of junctional region of epiglottis,,
155332018,Malignant neoplasm of lateral wall of oropharynx,,
288515014,Malignant neoplasm of posterior wall of oropharynx,,
288516010,"Malignant neoplasm of oropharynx, other specified sites",,
288517018,Malignant neoplasm of other specified site of oropharynx NOS,,
288518011,Malignant neoplasm of oropharynx NOS,,
288522018,Malignant neoplasm of nasopharynx,,
1228532011,Malignant neoplasm of roof of nasopharynx,,
288529010,Malignant neoplasm of posterior wall of nasopharynx,,
288533015,Malignant neoplasm of adenoid,,
288532013,Malignant neoplasm of pharyngeal tonsil,,
288541015,Malignant neoplasm of posterior wall of nasopharynx NOS,,
724841000006116,Malignant neoplasm of lateral wall of nasopharynx,,
288546013,Malignant neoplasm of pharyngeal recess,,
288550018,Malignant neoplasm of lateral wall of nasopharynx NOS,,
288552014,Malignant neoplasm of anterior wall of nasopharynx,,
288556012,Malignant neoplasm of nasopharyngeal soft palate surface,,
720491000006119,Malignant neoplasm posterior margin nasal septum and choanae,,
288561014,Malignant neoplasm of anterior wall of nasopharynx NOS,,
1219467016,"Malignant neoplasm, overlapping lesion of nasopharynx",,
288563012,Malignant neoplasm of other specified site of nasopharynx,,
288564018,Malignant neoplasm of nasopharynx NOS,,
725241000006116,Malignant neoplasm of hypopharynx,,
723031000006117,Malignant neoplasm of postcricoid region,,
722421000006115,Malignant neoplasm of pyriform sinus,,
727761000006116,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",,
288568015,Malignant neoplasm of posterior pharynx,,
288570012,Malignant neoplasm of other specified hypopharyngeal site,,
288571011,Malignant neoplasm of hypopharynx NOS,,
729591000006114,"Malig neop other/ill-defined sites lip, oral cavity, pharynx",,
288573014,Malignant neoplasm of pharynx unspecified,,
288578017,Malignant neoplasm of Waldeyer's ring,,
724781000006117,Malignant neoplasm of laryngopharynx,,
723801000006115,"Malignant neoplasm of other sites lip, oral cavity, pharynx",,
288582015,"Malignant neoplasm of lip, oral cavity and pharynx NOS",,
729321000006119,"Malig neop nasal cavities, middle ear and accessory sinuses",,
1228552012,Malignant neoplasm of nasal cavities,,
288771014,Malignant neoplasm of cartilage of nose,,
288772019,Malignant neoplasm of nasal conchae,,
721961000006111,Malignant neoplasm of septum of nose,,
288775017,Malignant neoplasm of vestibule of nose,,
288776016,Malignant neoplasm of nasal cavities NOS,,
730011000006119,"Malig neop auditory tube, middle ear and mastoid air cells",,
288779011,Malignant neoplasm of auditory (Eustachian) tube,,
288784017,Malignant neoplasm of tympanic cavity,,
288787012,Malignant neoplasm of tympanic antrum,,
724621000006112,Malignant neoplasm of mastoid air cells,,
730021000006110,"Malig neop auditory tube, middle ear, mastoid air cells NOS",,
724641000006117,Malignant neoplasm of maxillary sinus,,
1228553019,Malignant neoplasm of ethmoid sinus,,
719021000006111,Malignant neoplasm of frontal sinus,,
721721000006119,Malignant neoplasm of sphenoidal sinus,,
288790018,"Malignant neoplasm, overlapping lesion of accessory sinuses",,
729571000006113,"Malig neop other site nasal cavity, middle ear and sinuses",,
288792014,Malignant neoplasm of accessory sinus NOS,,
724791000006119,Malignant neoplasm of larynx,,
288794010,Malignant neoplasm of glottis,,
288797015,Malignant neoplasm of supraglottis,,
721871000006110,Malignant neoplasm of subglottis,,
724761000006110,Malignant neoplasm of laryngeal cartilage,,
288799017,Malignant neoplasm of arytenoid cartilage,,
288800018,Malignant neoplasm of cricoid cartilage,,
288801019,Malignant neoplasm of cuneiform cartilage,,
288802014,Malignant neoplasm of thyroid cartilage,,
288803016,Malignant neoplasm of laryngeal cartilage NOS,,
1219468014,"Malignant neoplasm, overlapping lesion of larynx",,
451428019,Malignant neoplasm of epiglottis NOS,,
