med_code_id,term,snomed_ct_concept_id,observations
729481000006112,Malig neop of kidney and other unspecified urinary organs,,
177051000006111,Renal malignant neoplasm,,
289285010,Malignant neoplasm of kidney parenchyma,,
289288012,Hypernephroma,,
722481000006116,Malignant neoplasm of renal pelvis,,
722471000006119,Malignant neoplasm of renal calyces,,
289294016,Malignant neoplasm of ureteropelvic junction,,
289296019,Malignant neoplasm of renal pelvis NOS,,
720961000006117,Malignant neoplasm of ureter,,
720991000006113,Malignant neoplasm of urethra,,
289299014,Malignant neoplasm of kidney or urinary organs NOS,,
306901000006111,Chromophobe carcinoma,,
291443014,Clear cell adenocarcinoma,,
315861000006111,Renal cell carcinoma - morphology,,
309571000006119,[M]Grawitz tumour,,
310241000006119,[M]Hypernephroma,,
1227517019,[M]Nephroblastoma NOS,,
318211000006116,Wilms' tumour,,
291674019,[M]Mesenchymal nephroblastoma,,
312461000006115,"[M]Mesenchymoma, malignant",,
307051000006111,Clear cell sarcoma of kidney,,
