med_code_id,term,snomed_ct_concept_id,observations
288688013,Malignant neoplasm of liver and intrahepatic bile ducts,,
157732017,Primary malignant neoplasm of liver,,
288690014,Primary carcinoma of liver,,
342834014,Hepatoblastoma of liver,,
342851019,Primary angiosarcoma of liver,,
342807011,Hepatocellular carcinoma,,
288692018,Primary malignant neoplasm of liver NOS,,
288700011,Malignant neoplasm of liver unspecified,,
292101010,[X]Other specified carcinomas of liver,,
1224870013,[M]Hepatocellular carcinoma NOS,,
309891000006115,"[M]Hepatoma, malignant",,
311211000006112,[M]Liver cell carcinoma,,
1231089017,[M]Combined hepatocellular carcinoma and cholangiocarcinoma,,
309851000006114,[M]Hepatocholangiocarcinoma,,
1221209015,"[M] Hepatocellular carcinoma, fibrolamellar",,
309811000006113,Hepatoblastoma,,
