med_code_id,term,snomed_ct_concept_id,observations
288808013,"Malignant neoplasm of trachea, bronchus and lung",,
721391000006116,Malignant neoplasm of trachea,,
288810010,Malignant neoplasm of mucosa of trachea,,
288811014,Malignant neoplasm of trachea NOS,,
155361017,Malignant neoplasm of main bronchus,,
288813012,Malignant neoplasm of carina of bronchus,,
155287019,Malignant neoplasm of hilus of lung,,
288815017,Malignant neoplasm of main bronchus NOS,,
403688010,"Malignant neoplasm of upper lobe, bronchus or lung",,
414849013,Pancoast's syndrome,,
288819011,Malignant neoplasm of upper lobe bronchus,,
288820017,Malignant neoplasm of upper lobe of lung,,
288821018,"Malignant neoplasm of upper lobe, bronchus or lung NOS",,
288822013,"Malignant neoplasm of middle lobe, bronchus or lung",,
288823015,Malignant neoplasm of middle lobe bronchus,,
288824014,Malignant neoplasm of middle lobe of lung,,
288825010,"Malignant neoplasm of middle lobe, bronchus or lung NOS",,
288826011,"Malignant neoplasm of lower lobe, bronchus or lung",,
288827019,Malignant neoplasm of lower lobe bronchus,,
288828012,Malignant neoplasm of lower lobe of lung,,
288829016,"Malignant neoplasm of lower lobe, bronchus or lung NOS",,
288832018,Malignant neoplasm of other sites of bronchus or lung,,
403689019,Malignant neoplasm of bronchus or lung NOS,,
733371000006119,Lung cancer,,
723001000006113,Malignant neoplasm of pleura,,
155447014,Malignant neoplasm of parietal pleura,,
155675017,Malignant neoplasm of visceral pleura,,
315501000006113,Pleomorphic carcinoma,,
291332019,Small cell carcinoma,,
314111000006116,Oat cell carcinoma,,
316591000006111,"[M]Small cell carcinoma, fusiform cell type",,
1231976013,"[M]Small cell carcinoma, intermediate cell",,
1222626017,[M]Small cell-large cell carcinoma,,
1870381000006113,Non-small cell carcinoma,,
316611000006117,[M]Small cell sarcoma,,
315581000006116,[M]Pneumoblastoma,,
1235321016,[M]Alveolar soft part sarcoma,,
396381000006118,[X]Malignant neoplasm of respiratory and intrathoracic organs,,
292105018,Malignant neoplasm of bronchus or lung,,
396611000006118,"[X]Malignant neoplasm/upper resp tract, part unspecified",,
396191000006117,[X]Malignant neopl/overlapping les/resp+intrathoracic organs,,
396511000006119,[X]Malignant neoplasm/ill-defined sites within resp system,,
