med_code_id,term,snomed_ct_concept_id,observations
289594015,Lymphosarcoma of intrathoracic lymph nodes,,
289595019,Lymphosarcoma of intra-abdominal lymph nodes,,
289599013,Lymphosarcoma of spleen,,
289601010,Lymphosarcoma NOS,,
2663190016,Burkitt's lymphoma,,
289603013,"Burkitt's lymphoma of lymph nodes of head, face and neck",,
289604019,Burkitt's lymphoma of intrathoracic lymph nodes,,
289605018,Burkitt's lymphoma of intra-abdominal lymph nodes,,
527801000006112,Burkitt's lymphoma of lymph nodes of inguinal region and leg,,
289612010,Burkitt's lymphoma NOS,,
2663473018,Hodgkin's disease,,
1815031000006110,Hodgkin lymphoma,,
826681000006115,Hodgkin's paragranuloma,,
826751000006118,"Hodgkin's paragranuloma of lymph nodes of head, face, neck",,
289621011,Hodgkin's paragranuloma of intra-abdominal lymph nodes,,
2663476014,Hodgkin's granuloma,,
289629013,"Hodgkin's granuloma of lymph nodes of head, face and neck",,
2663376010,Hodgkin's sarcoma,,
289643015,Hodgkin's sarcoma of lymph nodes of axilla and upper limb,,
1220414014,"Hodgkin's disease, nodular sclerosis",,
289660013,"Hodgkin's disease, nodular sclerosis of unspecified site",,
826611000006110,"Hodgkin's nodular sclerosis of head, face and neck",,
826651000006111,Hodgkin's nodular sclerosis of intrathoracic lymph nodes,,
826631000006116,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes,,
826661000006113,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm,,
154811011,"Hodgkin's disease, nodular sclerosis of spleen",,
826671000006118,Hodgkin's nodular sclerosis of lymph nodes of multiple sites,,
289669014,"Hodgkin's disease, nodular sclerosis NOS",,
2663461018,"Hodgkin's disease, mixed cellularity",,
289670010,"Hodgkin's disease, mixed cellularity of unspecified site",,
826571000006117,"Hodgkin's mixed cellularity of lymph nodes head, face, neck",,
826561000006112,Hodgkin's mixed cellularity of intrathoracic lymph nodes,,
826581000006119,Hodgkin's mixed cellularity of lymph nodes inguinal and leg,,
289679011,"Hodgkin's disease, mixed cellularity NOS",,
2663187010,"Hodgkin's disease, lymphocytic depletion",,
289680014,Hodgkin's lymphocytic depletion of unspecified site,,
826471000006116,Hodgkin's lymphocytic depletion lymph nodes axilla and arm,,
826481000006118,Hodgkin's lymphocytic depletion lymph nodes inguinal and leg,,
289699017,"Hodgkin's disease, lymphocytic depletion of spleen",,
826491000006115,Hodgkin's lymphocytic depletion lymph nodes multiple sites,,
289701017,"Hodgkin's disease, lymphocytic depletion NOS",,
2168431000000112,Nodular lymphocyte predominant Hodgkin lymphoma,,
1815051000006115,Nodular sclerosis classical Hodgkin lymphoma,,
1815061000006118,Mixed cellularity classical Hodgkin lymphoma,,
