med_code_id,term,snomed_ct_concept_id,observations
84190018,Clark melanoma level 2,,
35572018,Clark melanoma level 3,,
3704012,Clark melanoma level 4,,
27148012,Clark melanoma level 5,,
2438671000000118,Malignant melanoma stage IIC,,
2438711000000117,Malignant melanoma stage IIIA,,
289124016,Malignant neoplasm of skin of heel,,
403754010,Malignant melanoma,,
312251000006118,[M]Melanocarcinoma,,
312291000006112,[M]Melanosarcoma NOS,,
313651000006112,[M]Naevocarcinoma,,
1229572014,"[M]Malignant melanoma, regressing",,
1231028010,"[M]Desmoplastic melanoma, malignant",,
314051000006119,Nodular melanoma,,
305741000006115,[M]Balloon cell melanoma,,
305231000006118,Amelanotic melanoma,,
311971000006113,[M]Malignant melanoma in junctional naevus,,
1230100013,[M]Malignant melanoma in Hutchinson's melanotic freckle,,
310961000006112,[M]Lentigo maligna melanoma,,
1221446018,"[M]Acral lentiginous melanoma, malignant",,
317201000006115,Superficial spreading melanoma,,
311951000006115,[M]Malignant melanoma in giant pigmented naevus,,
292116013,[X]Melanoma and other malignant neoplasms of skin,,
396171000006118,[X]Malignant melanoma of other+unspecified parts of face,,
292118014,"[X]Malignant melanoma of skin, unspecified",,
292121011,[X]Malignant neoplasm of mesothelial and soft tissue,,
