med_code_id,term,snomed_ct_concept_id,observations
1216488012,Malignant neoplasm of oesophagus,,
288589012,Malignant neoplasm of cervical oesophagus,,
288594012,Malignant neoplasm of thoracic oesophagus,,
288597017,Malignant neoplasm of abdominal oesophagus,,
288602012,Malignant neoplasm of upper third of oesophagus,,
288607018,Malignant neoplasm of middle third of oesophagus,,
288608011,Malignant neoplasm of lower third of oesophagus,,
1215862010,"Malignant neoplasm, overlapping lesion of oesophagus",,
638841000000113,Siewert type I adenocarcinoma,,
288614016,Malignant neoplasm of other specified part of oesophagus,,
403674011,Malignant neoplasm of oesophagus NOS,,
1216486011,Oesophageal cancer,,
306261000006115,Carcinoid bronchial adenoma,,
1219789016,[M]Bronchiolo-alveolar adenocarcinoma,,
305201000006114,[M]Alveolar cell carcinoma,,
306131000006118,[M]Bronchiolar carcinoma,,
305181000006113,[M]Alveolar adenocarcinoma,,
