med_code_id,term,snomed_ct_concept_id,observations
552661000006114,Choriocarcinoma,,
378691015,FIGO staging of gynaecological malignancy,,
729491000006110,Malig neop of other and unspecified female genital organs,,
720041000006117,Malignant neoplasm/overlapping lesion/feml genital organs,,
289217010,Malignant neoplasm of other specified female genital organ,,
723341000006112,Overlapping malignant neoplasm of vulva,,
289219013,Malignant tumour of female genital organ,,
723451000006119,Malignant neoplasm of paraurethral glands,,
307671000006114,Dysgerminoma,,
292138010,[X]Malignant neoplasm of female genital organs,,
396531000006113,Malignant tumor of female genital organ,,
292142013,"[X]Malignant neoplasm of female genital organ, unspecified",,
