med_code_id,term,snomed_ct_concept_id,observations
826261000006110,"Hodgkin's disease, lymphocytic-histiocytic predominance",,
826991000006114,"Hodgkin's, lymphocytic-histiocytic predominance unspec site",,
826951000006115,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck",,
826941000006117,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes",,
826921000006112,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node",,
826911000006116,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg",,
826931000006110,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes",,
289657018,"Hodgkin's, lymphocytic-histiocytic predominance of spleen",,
826961000006118,"Hodgkin's, lymphocytic-histiocytic pred of multiple sites",,
289659015,"Hodgkin's, lymphocytic-histiocytic predominance NOS",,
289713010,Other malignant neoplasm of lymphoid and histiocytic tissue,,
1815251000006112,Sarcoma of dendritic cells,,
289826016,Malignant immunoproliferative small intestinal disease,,
414253015,Maltoma,,
