med_code_id,term,snomed_ct_concept_id,observations
726141000006116,Malignant neoplasm of epididymis,,
721701000006112,Malignant neoplasm of spermatic cord,,
289257013,Malignant neoplasm of tunica vaginalis,,
289442015,Malignant neoplasm of inguinal region,,
291714017,Seminoma - category,,
316331000006118,"[M]Seminoma, anaplastic type",,
316741000006112,[M]Spermatocytic seminoma,,
291715016,[M]Seminoma NOS,,
292143015,Malignant tumour of male genital organ,,
396541000006115,[X]Malignant neoplasm/other specified male genital organs,,
292146011,"[X]Malignant neoplasm of male genital organ, unspecified",,
