med_code_id,term,snomed_ct_concept_id,observations
723401000006118,Malignant neoplasm of pancreas,,
725121000006118,Malignant neoplasm of head of pancreas,,
288717016,Malignant neoplasm of body of pancreas,,
288720012,Malignant neoplasm of tail of pancreas,,
288723014,Malignant neoplasm of pancreatic duct,,
288727010,Malignant neoplasm of Islets of Langerhans,,
288731016,Malignant neoplasm of other specified sites of pancreas,,
288734012,Malignant neoplasm of ectopic pancreatic tissue,,
288735013,Malignant neoplasm of specified site of pancreas NOS,,
288736014,Malignant neoplasm of pancreas NOS,,
223131000000119,Endocrine tumour of pancreas,,
1219538019,"Malignant neoplasm, overlapping lesion of pancreas",,
310361000006113,Malignant insulinoma,,
309401000006112,Malignant glucagonoma,,
312881000006110,[M]Mixed islet cell and exocrine adenocarcinoma,,
304921000006113,Adenosquamous carcinoma,,
