med_code_id,term,snomed_ct_concept_id,observations
459732012,Pain from metastases,,
151331000006114,Secondary malignant neoplasm of liver,,
406333010,Secondary and unspecified malignant neoplasm of lymph nodes,,
732441000006113,Lymph node metastases,,
157761000006113,Secondary and unspec malig neop lymph nodes head/face/neck,,
157821000006114,Secondary and unspec malig neop of superficial parotid LN,,
157961000006111,Secondary and unspec malignant neoplasm mastoid lymph nodes,,
157921000006117,Secondary and unspec malig neop superficial cervical LN,,
157971000006116,Secondary and unspec malignant neoplasm occipital lymph node,,
157591000006113,Secondary and unspec malig neop deep parotid lymph nodes,,
157891000006111,Secondary and unspec malig neop submandibular lymph nodes,,
157801000006116,Secondary and unspec malig neop of facial lymph nodes,,
157901000006110,Secondary and unspec malig neop submental lymph nodes,,
157491000006114,Secondary and unspec malig neop anterior cervical LN,,
157571000006112,Secondary and unspec malig neop deep cervical LN,,
157751000006111,Secondary and unspec malig neop intrathoracic lymph nodes,,
157691000006112,Secondary and unspec malig neop internal mammary lymph nodes,,
157671000006111,Secondary and unspec malig neop intercostal lymph nodes,,
157601000006117,Secondary and unspec malig neop diaphragmatic lymph nodes,,
157481000006111,Secondary and unspec malig neop ant mediastinal lymph nodes,,
157861000006115,Secondary and unspec malig neop post mediastinal lymph nodes,,
157831000006112,Secondary and unspec malig neop paratracheal lymph nodes,,
157911000006113,Secondary and unspec malig neop superfic tracheobronchial LN,,
157641000006115,Secondary and unspec malig neop inferior tracheobronchial LN,,
157531000006114,Secondary and unspec malig neop bronchopulmonary lymph nodes,,
157871000006110,Secondary and unspec malig neop pulmonary lymph nodes,,
157741000006114,Secondary and unspec malig neop intrathoracic LN NOS,,
157711000006110,Secondary and unspec malig neop intra-abdominal lymph nodes,,
157551000006119,Secondary and unspec malig neop coeliac lymph nodes,,
157941000006112,Secondary and unspec malig neop superficial mesenteric LN,,
157631000006113,Secondary and unspec malig neop inferior mesenteric LN,,
157561000006117,Secondary and unspec malig neop common iliac lymph nodes,,
157611000006119,Secondary and unspec malig neop external iliac lymph nodes,,
157701000006112,Secondary and unspec malig neop intra-abdominal LN NOS,,
157501000006118,Secondary and unspec malig neop axilla and upper limb LN,,
157521000006111,Secondary and unspec malig neop axillary lymph nodes,,
157951000006114,Secondary and unspec malig neop supratrochlear lymph nodes,,
157651000006118,Secondary and unspec malig neop infraclavicular lymph nodes,,
157841000006119,Secondary and unspec malig neop pectoral lymph nodes,,
157511000006115,Secondary and unspec malig neop axilla and upper limb LN NOS,,
157661000006116,Secondary and unspec malig neop inguinal and lower limb LN,,
157931000006119,Secondary and unspec malig neop superficial inguinal LN,,
157581000006110,Secondary and unspec malig neop deep inguinal lymph nodes,,
157811000006118,Secondary and unspec malig neop of inguinal and leg LN NOS,,
157731000006116,Secondary and unspec malig neop intrapelvic lymph nodes,,
157681000006114,Secondary and unspec malig neop internal iliac lymph nodes,,
157541000006116,Secondary and unspec malig neop circumflex iliac LN,,
157881000006113,Secondary and unspec malig neop sacral lymph nodes,,
157721000006119,Secondary and unspec malig neop intrapelvic LN NOS,,
157771000006118,Secondary and unspec malig neop lymph nodes multiple sites,,
157781000006115,Secondary and unspec malig neop lymph nodes NOS,,
151111000006118,Secondary malig neop of respiratory and digestive systems,,
