med_code_id,term,snomed_ct_concept_id,observations
721851000006117,Malignant neoplasm of stomach,,
799181000006112,Gastric neoplasm,,
288625013,Malignant neoplasm of cardia of stomach,,
288628010,Malignant neoplasm of cardiac orifice of stomach,,
288632016,Malignant neoplasm of cardio-oesophageal junction of stomach,,
288631011,Malignant neoplasm of gastro-oesophageal junction,,
288633014,Malignant neoplasm of cardia of stomach NOS,,
288635019,Malignant neoplasm of pylorus of stomach,,
722341000006119,Malignant neoplasm of prepylorus of stomach,,
288638017,Malignant neoplasm of pyloric canal of stomach,,
288639013,Malignant neoplasm of pylorus of stomach NOS,,
288641014,Malignant neoplasm of pyloric antrum of stomach,,
288644018,Malignant neoplasm of fundus of stomach,,
288647013,Malignant neoplasm of body of stomach,,
288649011,Malignant neoplasm of lesser curve of stomach unspecified,,
288650011,Malignant neoplasm of greater curve of stomach unspecified,,
1219534017,"Malignant neoplasm, overlapping lesion of stomach",,
638721000000113,Siewert type II adenocarcinoma,,
638821000000118,Siewert type III adenocarcinoma,,
288652015,Malignant neoplasm of other specified site of stomach,,
288653013,Malignant neoplasm of anterior wall of stomach NEC,,
288654019,Malignant neoplasm of posterior wall of stomach NEC,,
288655018,Malignant neoplasm of other specified site of stomach NOS,,
288656017,Malignant neoplasm of stomach NOS,,
260992011,Ascitic fluid: malignant cells,,
289441010,Malignant neoplasm of abdomen,,
353772013,Malignant ascites,,
316221000006111,[M]Scirrhous adenocarcinoma,,
1229372013,[M]Linitis plastica,,
316131000006115,[M]Round cell sarcoma,,
292132011,"[X]Malignant neoplasm of peritoneum, unspecified",,
