med_code_id,term,snomed_ct_concept_id,observations
721171000006119,Malignant neoplasm of testis,,
289223017,Malignant neoplasm of undescended testis,,
457318018,Seminoma of undescended testis,,
289234019,Malignant neoplasm of undescended testis NOS,,
174562015,Malignant neoplasm of descended testis,,
457319014,Seminoma of descended testis,,
109371000006115,Teratoma of descended testis,,
473991000000119,Malignant neoplasm of descended testis NOS,,
403702017,Malignant neoplasm of testis NOS,,
380180017,Seminoma of testis,,
109381000006117,Teratoma of testis,,
109391000006119,Teratoma of undescended testis,,
723111000006110,Malignant neoplasm of scrotum,,
311091000006110,Malignant Leydig cell tumour,,
