med_code_id,term,snomed_ct_concept_id,observations
288839010,Malignant neoplasm of other specified pleura,,
288841011,"Malignant neoplasm of thymus, heart and mediastinum",,
721271000006114,Malignant neoplasm of thymus,,
725151000006110,Malignant neoplasm of heart,,
726071000006111,Malignant neoplasm of endocardium,,
724051000006110,Malignant neoplasm of myocardium,,
155459013,Malignant neoplasm of pericardium,,
173941016,Mesothelioma of pericardium,,
288847010,Malignant neoplasm of heart NOS,,
155078019,Malignant neoplasm of anterior mediastinum,,
155473016,Malignant neoplasm of posterior mediastinum,,
724671000006113,"Malignant neoplasm of mediastinum, part unspecified",,
729521000006112,"Malig neop of other site of heart, thymus and mediastinum",,
288852017,"Malignant neoplasm of heart, thymus and mediastinum NOS",,
729531000006110,Malignant neoplasm of thoracic cavity structure,,
380110012,Neoplasm of respiratory tract,,
730001000006117,"Malignant neoplasm, overlapping lesion of heart, mediastinum and pleura",,
720581000006118,Primary malignant neoplasm of intrathoracic organs,,
729601000006118,Malig neop other/ill-defined sites resp/intrathoracic organs,,
729551000006115,"Malig neop of upper respiratory tract, part unspecified",,
288857011,Malignant neoplasm of other site of respiratory tract,,
288858018,Malignant neoplasm of respiratory system,,
155085015,Malignant neoplasm of aortic body,,
155193017,Malignant neoplasm of coccygeal body,,
289419010,Malignant neoplasm of aortic body or paraganglia NOS,,
720011000006116,"Malignant neoplasm-pluriglandular involvement,unspecified",,
289432017,Malignant neoplasm of thorax,,
289436019,Malignant neoplasm of chest wall,,
289437011,Malignant neoplasm of intrathoracic site NOS,,
289438018,Malignant neoplasm of thorax NOS,,
396561000006116,"[X]Malignant neoplasm/overlap lesion/heart,mediastinm+pleura",,
292110019,Malignant tumour of mediastinum,,
