med_code_id,term,snomed_ct_concept_id,observations
1488798019,Cancer confirmed,,
1488604019,Administration of antineoplastic agent,,
1488772013,Cancer treatment started,,
2533540016,Cancer hospital treatment completed,,
1488780018,Cancer diagnosis discussed,,
1489328015,Cancer diagnosis discussed with significant other,,
1489329011,Cancer diagnosis discussed with patient,,
226911000000117,Date cancer diagnosis received in primary care,,
2534102018,Cancer pain and symptom management,,
2534080010,Cancer rehabilitation and readaption,,
287014015,Malignant neoplastic disease co-occurrent with human immunodeficiency virus infection,,
825841000006115,HIV disease resulting in unspecified malignant neoplasm,,
287031010,HIV disease resulting in multiple malignant neoplasms,,
406265010,Malignant neoplastic disease,,
380211016,Carcinoma of other and unspecified sites,,
289423019,Malignant neoplasm of other and ill-defined sites,,
289561018,Malignant neoplasm of unspecified site,,
289565010,Other malignant neoplasm NOS,,
289566011,Malignant neoplasms of independent (primary) multiple sites,,
454091013,Primary malignant neoplasm of unknown site,,
380059013,Malignant tumour of unknown origin,,
289571016,Malignant neoplasm of unspecified site NOS,,
723641000006119,Malignant neoplasm of other and unspecified site OS,,
289574012,Malignant neoplasm of other and unspecified site NOS,,
313701000006118,Malignant neoplasm,,
317901000006110,Malignant tumour cells,,
312071000006117,Malignant tumour - small cell type,,
312061000006112,"[M]Malignant tumour, giant cell type",,
312051000006110,"[M]Malignant tumour, fusiform cell type",,
291326012,Malignant Neoplasm (Morphology),,
291329017,"Carcinoma, undifferentiated",,
291330010,"Carcinoma, anaplastic",,
304681000006116,[M]Adenocarcinomas,,
291372011,Adenocarcinoma,,
1231622010,[M]Adenocarcinoma in tubulovillous adenoma,,
306401000006115,"[M]Carcinoma, diffuse type",,
310661000006117,[M]Islet cell carcinoma,,
304531000006116,Adenocarcinoma in situ in a polyp,,
1230440012,[M]Adenocarcinoma in multiple adenomatous polyps,,
304521000006119,[M]Adenocarcinoma in adenomatous polposis coli,,
291403016,[M]Solid carcinoma NOS,,
291414018,"[M]Carcinoid tumour, malignant",,
1217037013,Adenocarcinoid tumour,,
291669010,"[M]Mixed tumour, malignant, NOS",,
313211000006113,Mullerian mixed tumour,,
396571000006111,Overlapping malignant neoplasm of ill-defined site,,
292166019,[X]Malignant neoplasm without specification of site,,
297584015,Myasthenic syndrome due to other malignancy,,
682691000006117,Myopathy due to malignant disease,,
340421000006119,[V]Follow-up examination after combined treatment for malignant neoplasm,,
340541000006110,[V]Follow-up examination after other treatment for malignant neoplasm,,
340561000006114,[V]Follow-up examination after unspecified treatment for malignant neoplasm,,
