med_code_id,term,snomed_ct_concept_id,observations
289166015,"Malignant neoplasm of uterus, part unspecified",,
1228493018,Malignant neoplasm of cervix uteri,,
543481000006111,Cervical carcinoma (uterus),,
1210561014,Malignant neoplasm of body of uterus,,
289187013,"Malignant neoplasm of corpus uteri, excluding isthmus",,
289188015,Malignant neoplasm of cornu of corpus uteri,,
289189011,Malignant neoplasm of fundus of corpus uteri,,
289190019,Malignant neoplasm of endometrium of corpus uteri,,
980021000006113,Malignant neoplasm of endometrium,,
289191015,Malignant neoplasm of myometrium of corpus uteri,,
289192010,Malignant neoplasm of corpus uteri NOS,,
289193017,Malignant neoplasm of isthmus of uterine body,,
289194011,Malignant neoplasm of lower uterine segment,,
289195012,Malignant neoplasm of isthmus of uterine body NOS,,
289197016,Malignant neoplasm of other site of uterine body,,
289198014,Malignant neoplasm of body of uterus NOS,,
726271000006117,Malignant neoplasm of fallopian tube,,
289204012,Malignant neoplasm of uterine adnexa NOS,,
292139019,"[X]Malignant neoplasm of uterine adnexa, unspecified",,
155468010,Primary malignant neoplasm of placenta,,
289196013,Malignant neoplasm of overlapping lesion of corpus uteri,,
289199018,Malignant neoplasm of uterine adnexa,,
155155010,Malignant neoplasm of broad ligament,,
289203018,Malignant neoplasm of other site of uterine adnexa,,
289184018,Choriocarcinoma,,
307071000006118,[M]Cloacogenic carcinoma,,
312491000006111,[M]Mesodermal mixed tumour,,
307801000006119,[M]Embryonal hepatoma,,
306451000006116,"Embryonal carcinosarcoma,",,
307831000006110,[M]Embryonal sarcoma,,
291718019,Embryonal carcinoma,,
1230128019,[M]Choriocarcinoma,,
306821000006110,[M]Choriocarcinoma combined with teratoma,,
312031000006115,"[M]Malignant teratoma, trophoblastic",,
