med_code_id,term,snomed_ct_concept_id,observations
721051000006113,Malignant neoplasm of vagina,,
289207017,Malignant neoplasm of vaginal vault,,
289208010,Malignant neoplasm of vagina NOS,,
482690017,Malignant neoplasm of labia majora,,
289209019,Malignant neoplasm of greater vestibular (Bartholin's) gland,,
289210012,Malignant neoplasm of labia majora NOS,,
482691018,Malignant neoplasm of labia minora,,
1210566016,Malignant neoplasm of clitoris,,
403701012,Malignant neoplasm of vulva unspecified,,
411399019,Primary vulval cancer,,
